sample_ind,rho,sim_steps
150,2.5077311126128583,1724
151,2.719562183862405,2016
152,3.7408944873581103,1994
153,1.1842417071143778,1748
154,3.569416488752527,2004
155,3.3184202630154207,1751
156,3.9004013861235514,1752
157,3.453230129912228,1727
158,2.902751081400022,1734
159,2.985886292477046,1743
160,4.345931785407167,1768
161,2.6196934043317484,1761
162,3.898988209615542,2006
163,2.91000958503737,1728
164,3.3616310874600703,1722
165,4.010007942051635,2000
166,3.6572919115047267,1735
167,2.795024666027972,1750
168,3.5395293047325023,1722
169,4.50241872232607,1772
170,2.660295165437965,1764
171,-0.030914678965707765,1507
