sample_ind,rho,sim_steps
1,1.2529461917867888,1093
2,3.280676427907782,1101
3,4.372722797998479,1117
4,3.0407086742961766,1093
5,4.210876211828591,1091
6,4.713167178232096,1112
7,3.0104840970968834,1099
8,3.45605155123482,1086
9,1.9527149555342636,1096
10,2.3650593895859267,1091
11,3.5440615351761444,1091
12,3.1838241941098016,1088
13,2.383920436461315,1093
14,3.2459119514711254,1112
15,3.29208714720796,1113
16,4.502126475594315,1118
17,2.0995749063144125,1092
18,3.767242747624042,1119
19,3.605766489859379,1092
20,2.626464028484344,1098
21,4.592553485265732,1120
22,2.241329637969443,1088
23,4.690771442495773,1109
24,3.80486974592918,1119
25,3.8036543990121725,1097
26,2.421422845402488,1103
27,3.3106603949278277,1091
28,2.2174134081629298,1090
29,4.523378837335624,1094
30,4.577577729621309,1105
31,3.1936534425492216,1090
32,3.158385496392979,1097
33,4.561592331576161,1109
34,2.134366665318579,1104
35,3.9353454164499535,1091
36,1.8191240653390954,1099
37,4.253126053012917,1119
38,1.558894568198271,1091
39,2.2076402840480362,1098
40,4.50513565100092,1093
41,2.6692923953421523,1099
42,4.322945910913377,1111
43,2.33508074287926,1097
44,4.721949897660913,1098
45,2.056893042060006,1104
46,4.622387397347671,1119
47,2.3170788217829337,1099
48,2.881690187014346,1107
49,2.462036353577666,1089
50,1.7367031557496748,1097
51,3.4678708267335683,1094
52,2.8990789510800568,1096
53,3.0315985693187617,1106
54,1.998566732592102,1100
55,2.721892944889989,1096
56,4.597171656199821,1117
57,4.128700134589856,1100
58,3.468694486536185,1111
59,1.2547622101308864,1093
60,3.2418377606036053,1100
61,4.4688526445208225,1122
62,4.398190266445091,1096
63,3.682223903987717,1088
64,2.0232618244215885,1094
65,3.717874640745787,1088
66,4.2751426263081775,1111
67,2.1083575054953343,1089
68,2.6961841513511153,1094
69,4.560922859638945,1090
70,3.4026913817170588,1111
71,3.5376771516130407,1098
72,2.8754105541650485,1090
