sample_ind,rho,sim_steps
244,2.6259306397964934,1757
245,1.5660319751254708,1742
246,4.628959880434712,1768
247,2.7989584140086174,2014
248,1.656363548807346,1743
249,3.9874163171042305,1754
250,2.5823389700453285,1771
251,3.4631199223211784,1990
252,3.5810851109654713,1991
253,4.045455853372612,1996
254,2.6186927997689144,2007
255,3.75657488852179,1738
256,3.2351002308966823,2020
257,1.7919287636929102,1747
258,1.9693117078593074,2013
259,2.556603515842081,1768
260,2.725715653293018,1733
261,2.668260155193236,1747
262,3.8442701701698265,2000
263,1.7883257453897397,1731
264,3.985902140665358,2005
265,2.8452790740273315,1991
266,3.653592036105726,2020
267,4.485264362674361,1752
268,-0.059304249991450675,1584
