sample_ind,rho,sim_steps
314,3.8646686864971382,703
315,2.216405459619356,697
316,3.573689250610917,697
317,4.539788525003393,699
318,3.48135040884946,696
319,3.874005367597734,697
320,3.781866629645325,703
321,2.8560941971956417,697
322,2.2148736088831296,697
323,2.2151052209913367,697
324,4.060691566840632,703
325,2.341789627212897,697
326,2.535451659850585,697
327,-0.04506822472973404,591
328,-0.09273979436615498,560
329,4.054128228865741,704
330,2.8945794990134583,697
331,4.052634673525683,703
332,4.565127405522311,700
333,3.875524658460563,697
334,2.2154717583951413,697
335,4.727597776501753,703
336,4.052337042509343,703
337,4.195546008689121,697
338,3.5132563968746915,697
339,3.894287539180116,697
340,2.638314570286761,698
341,-0.04235491454975815,527
342,3.416903086773191,697
343,3.2874408333613605,702
344,3.6952020164457373,697
345,2.4511671127556873,697
346,2.6579269456015666,704
347,2.2538480411811115,698
348,3.7819929277422997,703
349,4.5484583371806675,700
350,4.41740971229693,703
351,4.585067249112846,700
352,4.534345063413982,700
353,3.6710147913069466,696
354,2.217715548668359,697
355,3.9667912137814803,697
356,3.0878744241599954,696
357,2.3913284160346393,697
358,2.2158859072049584,696
359,-0.0653722236326928,622
360,-0.037266371066445814,542
361,3.633787881030191,697
362,3.4053523199673794,696
363,2.22585689289685,697
364,4.763011644197851,699
365,2.6007132526539234,697
366,2.5304218139601193,699
367,-0.029031236702305563,528
368,2.806673118305649,703
369,2.989361879253374,703
370,2.8615334826285412,697
371,2.864727780120031,697
372,4.738163593616367,700
373,2.2178763832864092,698
374,2.226766606370811,697
375,2.964363707899018,697
376,3.191440621862947,697
377,-0.09440727799903037,633
378,4.520465995068719,699
379,4.404104810432862,697
380,4.641795284497844,701
381,2.837445047818507,697
382,2.2262344678562105,697
383,2.8104138794829083,697
