sample_ind,rho,sim_steps
401,-0.06943288588132113,1632
402,3.194284972255341,1720
403,-0.0687112696149752,1483
404,3.0388515020871694,1727
405,4.0994008062325324,1737
406,4.420292642338069,1737
407,-0.06700970207108448,1536
408,3.445446418287851,1730
409,3.161018069322841,1733
410,2.6932492712208056,1731
411,1.7613549566339533,1740
412,3.90059852880103,1757
413,2.396330822509513,1731
414,1.7458698082081234,1714
415,4.318568048804741,1749
416,2.6674348321239645,1741
417,3.7056353456340574,1752
418,3.0429034096001555,1705
419,2.2227667601075094,1724
420,3.123821468849208,1728
421,4.153044316360306,1743
422,3.7746472778714537,1744
423,2.2422009643926817,1732
424,4.159303583804322,1715
425,2.6944857292352866,1752
426,2.4200058194775185,1731
427,1.9389620270367436,1749
428,4.208450923276626,1726
429,-0.08131000427516533,1620
430,2.2136061930876085,1710
431,3.4051078210556955,1708
432,3.464824586524278,1745
433,4.168511802947572,1750
434,4.297948218784088,1761
435,2.8369610818621824,1726
436,4.331944990320197,1752
437,1.0689686148051258,1727
438,3.744696468436695,1743
439,3.582178259967554,1727
440,-0.014830659289957637,1634
441,3.3610917813896766,1714
442,3.117620936620641,1737
443,3.0608930860868586,1735
444,4.01266921783327,1761
445,2.7191102322074885,1741
446,3.6747590942339894,1743
447,3.8490393538389487,1736
448,3.615330114776757,1746
449,3.618571854859294,1741
450,-0.0006530198851830704,1579
451,4.2777006978030965,1747
452,3.6278964463639163,1743
453,3.9263132395286604,1756
454,3.7497322876462054,1718
455,4.136796131519565,1728
456,3.582433529628476,1748
457,3.976976769277023,1730
458,1.870620956797456,1717
459,3.9163376851145397,1715
460,2.4048241294042905,1737
461,3.254138465228543,1734
462,0.66382906004727,1716
463,3.2830971473114907,1737
464,3.9192164733303922,1757
465,4.015333124431626,1746
466,4.163764135961024,1723
467,3.969189148988246,1714
468,3.02529171307787,1732
469,2.719193428601198,1741
470,3.93042142728836,1756
471,2.326149202760277,1723
472,3.420923076521328,1705
473,4.0693681060391,1728
474,3.1000224231400395,1720
475,4.637596653111926,1754
476,3.1161242679248407,1730
477,1.9339434324036269,1723
478,2.501995391558105,1741
479,-0.08352730369781014,1476
480,3.1301825170664763,1709
481,-0.0775530659430883,1536
482,3.31308246459089,1747
483,3.512848817050502,1741
484,3.993550520908208,1736
485,2.7330336410982676,1753
486,3.3284983174589566,1719
487,3.817360173967005,1729
488,-0.03336209842103166,1541
489,3.1662990336880696,1746
490,-0.013997111956316033,1620
491,-0.03446808757691855,1687
492,-0.09298547871984475,1545
493,1.8625068692274098,1718
494,1.4577530740391431,1744
495,3.922400339767961,1722
496,4.147705295923643,1718
497,3.5223531967307817,1745
498,1.7439838131145242,1740
499,2.2387674004714295,1716
500,2.687138372157552,1734
