sample_ind,rho,sim_steps
501,2.5082220740987147,1767
502,3.430146334984313,1760
503,2.7519178516462937,1757
504,3.151418698754288,1762
505,-0.09015976197332698,1709
506,3.2998890414846294,1761
507,3.3479737050355567,1771
508,-0.08439914605436627,1667
509,2.7191140417102124,1761
510,2.215746948243556,1746
511,1.8955007679306188,1750
512,1.5801092076427405,1754
513,2.9085095212364447,1771
514,3.477230222657708,1770
515,2.6198749876069742,1760
516,1.9467572422599524,1751
517,2.9566812739236656,1765
518,-0.03898367144302206,1581
519,3.376632754557855,1764
520,1.604770312566,1753
521,2.060892074591158,1766
522,1.037614769172583,1747
523,3.4643902343168094,1771
524,-0.006144653421337409,1724
525,4.2541535626568,1781
526,-0.07147041955647282,1632
527,-0.08025733242211786,1619
528,3.316530248447391,1767
529,4.536186128708389,1756
530,-0.023176641850497504,1620
531,3.0424825231800803,1757
532,2.3099387343300375,1753
533,2.8217990740098386,1759
534,2.7403100287645863,1749
535,3.2866651478000986,1765
536,2.90378527031222,1754
537,2.8604540328411208,1747
538,4.3667522094707945,1784
539,2.2913070338498667,1747
540,-0.08837543778802903,1648
541,-0.07848586789626388,1665
542,3.2509276514625203,1751
543,-0.06574719872632251,1612
544,2.342376382293123,1758
545,4.462986188717023,1765
546,2.673325621191635,1757
547,2.406539116246357,1762
548,4.401630796162827,1766
549,3.182337819809984,1761
550,3.515271227990402,1776
551,3.2364893270727713,1769
552,1.854748500504277,1764
553,3.173967847808452,1765
554,2.720231556270557,1771
555,4.66589425875055,1761
556,2.796843921974217,1759
557,2.883750111875438,1755
558,4.420861646262386,1774
559,2.3105501499645413,1763
560,3.9839827739032607,1777
561,-0.0035282015937418976,1723
562,-0.03234973778170769,1594
563,2.7426078685237743,1763
564,3.223584503147153,1765
565,3.9479819134911533,1757
566,3.4782175188012197,1764
567,3.2525305928872292,1772
568,-0.09886969261884992,1626
569,2.2149795174385165,1752
570,4.680125615709979,1752
571,2.9181870393104425,1764
572,-0.06032755214483032,1704
573,2.3092105225053707,1762
574,4.333938663675715,1773
575,3.798467178311732,1750
576,-0.037596049044632096,1663
577,-0.020213001281607745,1625
578,2.3696485398765095,1766
579,3.7467182927200042,1776
580,2.970446052657003,1764
581,2.879687202648034,1766
582,3.4509992392798647,1756
583,3.743880747893943,1751
584,4.744462461307352,1753
585,1.1967156434132633,1749
586,3.9225309225103633,1751
587,-0.04544494997123749,1595
588,2.7572135885722826,1759
589,3.80344069538679,1760
590,4.571106299511246,1782
591,2.3496911506997478,1747
592,3.656708421809368,1768
593,-0.10429135828571567,1722
594,2.0655089744764306,1765
595,4.550866303525627,1782
596,2.6443368449221962,1769
597,-0.05470766502445734,1556
598,3.38779423393032,1770
599,3.579473927995778,1750
600,2.6982381757593146,1761
