sample_ind,rho,sim_steps
1,4.094693738236225,1093
2,3.163762156726081,1108
3,2.281281746410637,1096
4,3.021749763592455,1098
5,3.784366200545966,1087
6,3.0717966798178153,1098
7,3.5380876677784965,1103
8,4.151293286509276,1120
9,2.6640144484403265,1109
10,3.336621652525764,1094
11,0.9077259989754882,1088
12,1.9402639696546862,1095
13,4.574543728708736,1089
14,4.284910973053252,1113
15,3.1673182351272153,1098
16,3.0390550746987284,1108
17,4.082369567029719,1089
18,3.991001690471373,1089
19,2.6505038217667867,1092
20,3.9572477337466694,1105
21,4.649339155752379,1090
22,2.619709313419153,1109
