sample_ind,rho,sim_steps
34,3.442275347887797,672
35,4.41949330923627,683
36,4.272556234170734,669
37,3.116857941604094,683
38,4.322535157647746,679
39,3.653357101388268,664
40,3.7020186469653105,676
41,3.6440228634887912,676
42,4.360411642151817,682
43,3.821441987246766,682
44,3.8202874081867755,682
45,3.7013881602009455,665
46,3.654745871267407,671
47,3.726793571901993,679
48,4.145544175836484,655
49,4.17389984095599,663
50,4.446782811368154,670
51,4.759730120569939,668
52,3.3130503357697645,669
53,3.8061543301400445,682
54,3.6540717743055584,664
55,2.505002188032332,662
56,-0.04321503128679893,485
57,3.735122160768725,674
58,4.084976467553826,656
59,3.4395260667534338,670
60,4.356675211938924,673
61,3.066296819845844,673
62,4.542757317703659,656
63,3.816897115902549,681
64,2.9980755286961696,677
65,3.0667075601157467,673
66,3.5838101238650015,682
67,3.496343613939132,672
68,3.7132168455129975,661
69,-0.04514891119240794,590
70,3.6180036325176843,680
71,4.238992514767586,680
72,3.7011991972612766,665
73,3.7436514829954515,667
74,3.495344296684717,675
75,3.7262592580049407,679
76,3.7258353517467757,679
