sample_ind,rho,sim_steps
77,3.7932237825973285,934
78,2.56705386380583,921
79,2.768631139748164,921
80,-0.010150361348836512,384
81,3.745401735138918,931
82,3.1616232976356304,942
83,3.2229152209623777,940
84,2.854239784218259,945
85,3.443504406762198,921
86,3.102950197041066,921
87,2.8752990481991727,946
88,3.170469809240288,938
89,3.292195558511054,942
90,4.012184662867115,927
91,3.0167228780447246,919
92,3.6691766491344158,919
93,3.7855148376718386,936
94,3.4427773455056894,921
95,3.400726676109274,921
96,3.6773945020109444,933
97,-0.060201213405713716,354
98,4.11525067974055,925
99,3.6727621576884175,921
100,2.5757706589911873,918
101,2.9507552359157305,943
102,3.6005723216892775,933
103,4.094175953823424,932
104,2.571181810804898,920
105,3.202740206304938,942
106,3.040053538907184,946
107,4.1036745781594295,932
108,3.1313242016113794,918
109,-0.062065957627115864,463
110,2.824688539445045,921
111,4.000130610888304,931
112,3.0453823898959786,921
113,2.570540486745168,921
114,-0.034038696587868955,373
115,3.147979932587866,919
116,3.0881692528853932,920
