sample_ind,rho,sim_steps
1,4.538149812998411,1090
2,4.031646251559712,1091
3,1.6669152998776386,1091
4,4.662421226871105,1095
5,2.9613695784613148,1097
6,4.039006135035466,1116
7,1.8734790077154848,1096
8,4.560372565619822,1106
9,1.854343166707789,1102
10,1.9288379523830752,1094
11,2.555826617615317,1098
12,3.472406585081412,1103
13,4.348361842945803,1112
14,4.350019378320344,1110
15,4.25202102842311,1097
16,4.415344163982361,1108
17,4.070208105180985,1114
18,2.2933282258421164,1104
19,2.6737747739265973,1104
20,3.228136049797021,1099
21,3.96021645978821,1109
22,1.7416100586521743,1093
23,3.80401253989017,1105
24,4.443797038780971,1109
25,2.812423476214213,1088
26,4.518355925629644,1099
27,2.4456910520946584,1103
28,4.331822632927556,1105
29,4.267786105994642,1123
30,4.172051143415709,1111
31,4.396392927353519,1093
32,2.729469753229864,1108
33,3.7551245635861115,1115
34,4.489238819522127,1114
35,3.7918914050448542,1091
36,3.069796371817276,1100
37,3.4599878366965484,1112
38,3.6152438588917626,1103
39,3.310511923616769,1101
40,3.6814501903332673,1116
41,2.152946603496284,1087
42,1.9489431784726579,1104
43,2.2354568909556685,1100
44,4.49181277436565,1122
45,2.4674637232572803,1106
46,2.1134887620064653,1090
47,2.7239904494470766,1108
48,4.38356606572432,1115
49,3.755229407816657,1105
50,4.671909134282529,1093
51,2.602714034064464,1089
52,2.5477664579058814,1098
53,4.675963975486098,1117
54,2.3626509908368014,1095
55,4.051967732310523,1109
56,2.5171484667179005,1096
57,1.8700046298057451,1097
58,4.357541689684091,1117
59,3.795074515863835,1089
60,2.903817361092763,1108
61,2.059678292481607,1092
62,4.569099770693844,1118
63,2.5976309762237086,1100
64,3.9864484777012574,1101
65,3.6613874238186437,1089
66,4.072962182490009,1101
67,3.316305043901737,1107
68,1.9338674843340637,1091
69,3.738311225944411,1099
70,2.253216667158915,1090
71,3.69543288401519,1099
72,1.9947847739997497,1099
73,4.20712754210008,1116
74,4.169796071368838,1122
75,2.4695444523821273,1109
76,3.979256323104048,1101
77,2.718114999107284,1101
78,4.186430085638387,1122
79,3.04973117423388,1092
80,4.279387385922231,1118
81,1.9086389007168627,1093
82,4.067900541455325,1113
83,4.062623592744748,1095
84,3.544939373758778,1111
85,4.635797730572085,1090
86,4.516585995091559,1092
87,1.7502795962055249,1094
88,1.2097291241034043,1096
89,4.466586677185832,1112
90,1.0588016134365326,1089
91,3.421480687947744,1110
92,3.7370031561028796,1100
93,1.8454353772600491,1088
94,3.5348250797285523,1091
95,4.0610445682983,1097
96,3.1948961343593467,1091
97,2.655943328952673,1107
98,4.275277157830205,1111
99,4.317283708576737,1112
100,3.709284032666501,1092
101,4.628430198604301,1115
102,4.536128949771715,1092
103,3.0899182232642204,1102
104,4.435584007998257,1125
105,2.2152181537578315,1088
106,2.8825553806327626,1092
107,4.03453756940783,1109
108,3.982653016501178,1097
109,2.7182410022512595,1097
110,4.710022381850873,1096
111,4.125129104120941,1122
112,4.569131142178392,1117
113,3.774789825902417,1111
114,2.2359254409643814,1099
115,4.031770586584946,1112
116,4.076167536459447,1109
117,3.3609178153615815,1094
118,3.1441811096130223,1110
119,2.359208746291106,1096
120,3.2131207253581344,1089
121,2.8538620904322736,1099
122,3.72988533278793,1088
123,3.400503489275975,1090
124,2.706339433044093,1097
125,2.360619589425375,1101
126,4.120096279818068,1097
127,2.518571360251368,1103
128,3.111199733764572,1103
129,3.269715333208568,1103
130,4.037349901463543,1118
131,4.716448933314288,1114
132,2.3144317463288395,1096
133,1.850827757795332,1102
134,2.495311314801045,1112
135,2.8282219687377586,1100
136,3.69067624893421,1101
137,3.311638692558187,1094
138,2.224479260661596,1095
139,4.489222767143566,1104
140,1.59288818756289,1100
141,4.573668137145278,1113
142,2.725766088543886,1100
143,4.602656357258027,1109
144,4.664316364573773,1088
145,4.230661969502318,1097
146,1.1943517681777234,1092
147,4.666895672813338,1118
148,4.064551702193183,1101
149,2.631782206654024,1102
150,2.6579426995985145,1097
151,3.814702011539323,1089
152,4.321875524557049,1099
153,1.6019813647958294,1094
154,1.8949603610719183,1099
155,4.604388887583374,1092
156,3.2468685480931025,1102
157,4.399114966833846,1110
158,4.497107294709304,1119
159,4.037787155971378,1089
160,2.9159754483879112,1098
161,4.70821918775251,1092
162,3.4105415566325377,1102
163,4.1956582245072305,1099
164,2.659313168685509,1108
165,2.811021012577699,1089
166,4.666295874372279,1120
167,1.2259529873324357,1092
168,3.711397492233214,1095
169,4.103865793497258,1110
170,4.630987167809533,1107
171,2.0501426658427526,1092
172,4.530964749240347,1122
173,4.4506078150034245,1096
174,2.71848321668198,1107
175,2.6278214963021806,1095
176,4.071863364921823,1091
177,4.674320152604611,1112
178,4.162994691589184,1109
179,3.6694407594954725,1103
180,4.135552223175978,1093
181,2.011502387641107,1102
182,4.1889018112177165,1100
183,2.7016053461069234,1093
184,3.697293156458093,1098
185,3.735242730507263,1098
186,4.121831037698646,1109
187,3.8053604457735233,1102
188,4.438138683971227,1120
189,4.020705292666795,1099
190,3.363370120184122,1109
191,2.8678737095478812,1107
192,4.198383952425056,1111
193,2.4831666289700456,1095
194,3.2463983209111955,1107
195,3.2255167146601273,1113
196,4.542477359101458,1105
197,3.300616160709101,1088
198,3.7053258506165463,1104
199,3.6717321352045573,1107
200,4.212846651184025,1094
201,2.6940870247145376,1104
202,4.387365916344338,1117
203,3.8171245313729045,1102
204,2.5709877033331203,1087
205,3.2990526530576094,1107
206,4.568901279916108,1091
207,3.2467960474461233,1093
208,4.110790289453901,1093
209,3.1295746681008207,1114
210,3.7982566568867355,1112
211,2.825176597126589,1090
212,3.9062240731413027,1110
213,2.3868587566220008,1088
214,4.683763633877893,1089
215,3.694858445590885,1108
216,2.723705055437428,1093
217,4.451006707338893,1124
218,3.211988103360893,1095
219,3.4050292675932976,1089
220,4.141661027089253,1109
221,4.266578138082892,1116
222,4.100452087321216,1119
223,3.834398778679006,1101
224,3.952103402879187,1096
225,2.115733822782965,1101
226,1.9211751442427936,1098
227,2.7069092638083037,1097
228,2.469149152701612,1100
229,3.441380185298117,1105
230,4.468790650846335,1104
231,4.140960860764748,1099
232,3.616893661516471,1105
233,2.2156454148807843,1093
234,1.2737552435167974,1089
235,2.106904618899266,1092
236,4.080242874090644,1101
237,4.636904549760576,1091
238,4.668434849634783,1090
239,4.0525556534707015,1101
240,2.174959316861143,1090
241,3.7227359850442916,1113
242,4.425339119623841,1088
243,2.6458027844357543,1105
244,3.80492728496745,1104
245,3.0018742412262593,1093
246,3.611500098462182,1112
247,4.269337030258139,1106
248,3.2967267307179657,1104
249,2.81794235546361,1092
250,1.9266843415613444,1098
251,2.6621943482623163,1089
252,2.2393655595452095,1103
253,1.2852705684467125,1091
254,2.626036952117463,1105
255,4.476086235077656,1096
256,3.5441677099283098,1097
257,3.099782832488261,1087
258,1.8155732571381922,1099
259,2.677128656881896,1109
260,4.428586808960482,1111
261,3.050378250597676,1090
262,4.096090537836801,1119
263,4.129691471250901,1124
264,3.4524179366089687,1095
265,4.510358545465742,1103
266,3.3023754695655985,1106
267,4.282836852049478,1092
268,1.6149921874429083,1091
269,4.197393064673792,1094
270,4.045186388872157,1102
271,3.249621765085317,1105
272,4.12832744724931,1092
273,4.231320280090449,1107
274,3.4015311607391734,1098
275,3.2823733781808855,1108
276,3.797104066501719,1097
277,4.268433559057064,1106
278,3.095925491305369,1108
279,4.200580509738234,1115
280,4.149949354411245,1096
281,3.79534284701837,1097
282,3.845516998298768,1098
283,4.473961531793757,1094
284,3.1492522185705667,1105
285,2.3376388390756997,1097
286,4.3507424136251025,1094
287,4.3415979213330385,1109
288,2.694056284333181,1096
289,3.2079139072436433,1088
290,2.6208548100245332,1095
291,3.9936548554941176,1095
292,1.4408824740784123,1090
293,4.673607259381935,1088
294,3.3917381610938726,1095
295,1.9834777353102275,1088
296,3.2905967053367817,1097
297,2.3995461072312647,1102
298,2.2152333557973964,1087
299,3.533535935268988,1089
