sample_ind,rho,sim_steps
592,-0.05473976518340784,332
593,2.538639714690337,921
594,3.4075977585482082,921
595,2.8246484463067496,921
596,2.9835869472175114,947
597,3.1257475982272727,942
598,4.060575068255437,919
599,3.1593491142841845,922
600,3.9619543755858846,930
601,-0.025740351984085308,352
602,3.6384423782601694,934
603,3.2391490054776693,949
604,4.179404023521213,924
605,2.948790645951921,943
606,-0.004270536193134333,411
607,-0.03380831359823233,312
608,2.5867812114920667,922
609,2.969277441649628,948
610,3.3478180546011966,922
611,2.9209749691160205,944
612,2.4530298961787906,921
613,3.165407952137251,946
614,-0.05755683816716228,342
615,3.6786499141055824,920
616,3.6725318957062285,935
617,3.2669956255537027,945
618,3.664188497728068,920
619,4.017117348619127,918
620,3.5585895999502863,918
621,4.0307279259859445,920
622,-0.07331835954519406,433
623,-0.08439079364919166,479
624,3.7678893593822025,937
625,3.7520355559927037,918
626,3.960475479489661,928
627,3.027279614642861,945
628,2.9157387763958713,946
629,3.945057138504593,920
630,3.4890181104466915,922
631,3.5324782065007536,933
632,3.3076814494818727,922
633,3.984172454458472,922
634,4.034512349336296,933
635,3.0216779588489935,947
636,2.9585658360107105,947
637,-0.020661968495634397,433
638,3.7745557504834437,933
639,2.792626783882839,944
640,2.8678005185636772,944
641,3.690726560109816,920
642,3.1933227799330197,949
643,2.9939964187977406,919
644,2.825072478289819,920
645,3.4880735059984307,918
646,2.497451664151521,924
647,-0.09705109148953994,460
648,3.2087123126655275,938
649,-0.0234084454267407,342
650,3.524853413386925,943
651,2.9563440884267607,943
652,3.604605889542185,935
653,4.071924572777794,927
654,3.559465432021538,921
655,3.3294978975254654,948
656,2.5617451290257627,919
657,3.372547761984926,921
658,3.430678623108836,939
659,3.964870556437724,929
660,3.056038913534941,921
661,2.5229808914023533,947
662,3.6112559338124672,922
663,3.766244502668954,922
664,3.483170610498929,923
665,2.2395737153573823,922
666,3.7684986504379516,936
667,3.5595759259683675,920
668,3.098840204694234,943
669,3.748447166301334,936
670,3.855285849279724,933
671,3.3886196617990922,920
672,4.008761206750915,928
673,2.908964718903853,941
674,3.6718941103669245,922
675,2.4582006270447625,918
676,3.902846255353971,920
677,2.496628315687733,921
678,2.575307224370757,920
679,3.9885765463415996,921
680,3.2287155420981097,940
681,2.26345493110567,920
682,3.1473220363203698,937
683,3.1839181641507786,921
684,3.4739556598001187,918
685,3.531255282181913,943
686,4.133672314890443,925
687,2.5853193158661547,918
688,3.362867786021395,942
689,3.049762172730963,921
690,3.6818031793782318,933
691,2.243108436483965,922
692,3.3034468213856503,948
693,-0.015907084552896578,376
694,2.921465935077359,920
695,2.491304116718383,955
696,2.2386458627332217,921
697,-0.044851817502546965,415
698,3.8239340400987736,922
699,3.1205795816783173,921
700,2.2691362532323023,922
701,2.960566604506681,944
702,2.263933348862478,922
703,3.477701809044893,921
704,3.2039090849511247,940
705,3.5560501786902083,920
706,2.974390524212728,947
707,2.2691452333838384,921
708,2.8840559381571307,921
709,3.0629151619150186,922
710,3.1552862897394007,936
711,3.028478349548477,949
712,2.509749730272592,921
713,-0.05165889909295451,339
714,2.804323264127837,951
715,-0.02016297509837983,333
716,3.9580412544434775,930
717,3.013490942017947,948
718,3.5409587148417607,921
719,3.552933420332428,917
720,3.6149109442047767,943
721,2.2650644443324346,920
722,3.3042596256624073,923
723,3.9824892586757343,928
724,3.907005636087554,930
725,2.9674131761784768,947
726,3.28721085497717,942
727,3.1552661446782846,945
728,2.963384601700545,943
729,3.096401707445958,922
730,3.3649477125657103,920
731,3.3771418107192943,921
732,3.898568844452379,930
733,4.156317063859239,926
734,3.964239847534488,931
735,3.351676814687215,921
736,3.836839947680282,921
737,3.1115880314758524,921
738,3.784594091936844,923
739,3.176529301286113,949
740,4.001874311730495,922
741,4.005240408331183,930
742,2.2637871441811868,922
743,3.846939702936721,935
744,3.2766057567967177,941
745,3.228140431594481,941
746,2.98060991810255,945
747,3.925841223500834,929
748,2.9002869098747457,924
749,3.4319935515225506,918
750,2.2532934258121458,924
751,2.5960567610826333,945
752,2.911277301089667,946
753,2.8627700009214525,943
754,2.8392931481394594,921
755,3.635338150402056,934
756,3.9288247674318413,922
757,3.000935579031104,947
758,4.005466940636385,921
759,3.116832600389424,946
760,2.5615571475354333,918
761,2.2589807923034613,923
762,2.7114922559602537,952
763,3.0335466657187453,920
764,3.0973016389674566,946
765,2.245996038062648,921
766,2.7631678120075556,951
767,2.259474681366717,921
768,2.786474033120612,922
769,3.490817971981418,923
770,2.253772623329697,919
771,3.6074727364886563,919
772,2.4975582171261372,920
773,2.672603376715058,921
774,3.453015754956029,920
775,3.969076123369879,929
776,3.2253471450956877,919
777,-0.05133253156479256,424
778,3.519719380558149,921
779,3.7008634033128693,922
780,3.023919812824854,919
781,2.498626747602729,953
782,3.9949776795519103,921
783,2.920324091924737,944
784,-0.05249467348720849,326
785,3.931346629413296,919
786,2.61953414157367,921
787,3.9338641570006736,922
788,3.3561935587795464,922
789,3.8979235883718566,930
790,3.6961091677607936,920
791,3.061284546636381,942
792,3.661165783978584,918
793,2.264507781076329,922
794,2.6656817349516064,921
795,2.368999220834633,957
796,3.4220921645722555,921
797,3.9874568834644,927
798,3.7917525438332724,937
799,3.2286088363329046,939
800,2.9368732072162294,944
801,3.959225708243519,928
802,3.7159741152441743,937
803,-0.03455471632032925,455
804,3.0617390098222312,947
805,2.574938833947545,920
806,2.5631802765617913,923
807,2.781854585379884,918
808,-0.061444429943335876,351
809,3.7446606851656163,918
810,3.201473215542304,918
811,3.1354127612232094,936
