sample_ind,rho,sim_steps
8,4.0285726261552455,2022
9,2.7815845461716133,1990
10,3.985629667072274,1737
11,2.7335914201275626,1765
12,3.919453186780565,1731
13,2.9680554964403694,1718
14,3.785378545542649,1754
15,3.6295581154163816,1729
16,2.92325806892096,2005
17,1.552908567097397,1990
18,1.94520195396837,1754
19,3.9284534440512946,1754
20,2.683287010720635,1990
21,2.2223435449614026,1989
22,2.8646524450772812,1995
23,2.3394227758887087,1726
24,3.801120301056665,1767
25,3.4828177597241936,1991
26,1.6916682049248273,1983
27,1.2141334814143203,1725
28,2.820912492893086,2001
29,3.9823257920431985,1739
30,3.7977668350614024,1755
31,3.4555471282710783,2017
32,3.765016086585888,1740
33,3.6162370663461108,2015
34,2.988147349484718,1707
35,3.986602062833967,1754
36,1.8535658065502592,1756
37,4.112884563784522,2006
38,3.542150857430297,1750
39,4.278389836055524,1739
40,-0.03236802664989291,1477
