sample_ind,rho,sim_steps
1,4.50735670571672,1121
2,4.640311355102153,1108
3,4.0649632874735335,1112
4,2.7221236703882896,1101
5,2.1650125432824296,1101
6,3.1946691139559906,1096
7,3.9927359426393565,1109
8,3.702037061452433,1109
9,4.453306091699082,1115
10,4.115839074126315,1102
11,3.704481577665163,1103
12,3.3025116770442295,1095
13,2.9311725707576795,1109
14,3.3942430483064108,1102
15,1.942235085788135,1095
16,3.9681426928934247,1095
17,3.2657680518652583,1096
18,3.200922261737995,1088
19,3.16483341035136,1110
20,3.3100443227227796,1092
21,3.1742651382972813,1099
22,4.291055414624575,1102
23,2.197948315106782,1093
24,2.8809191679451587,1101
25,1.734095286042833,1099
26,3.6456999446635816,1111
27,3.5133620108559533,1112
28,1.446377522433714,1092
29,3.2367506135174295,1087
30,1.6109933135505443,1088
31,2.256457311577874,1098
32,3.5652201428034083,1089
33,3.3122356610008925,1109
34,2.679673301543229,1088
35,4.579128255094064,1108
36,0.8335595386345744,1088
37,4.025832327990694,1098
38,4.600320794116405,1115
39,4.190496853775095,1113
40,1.1937292356493296,1096
41,3.1943992732511823,1088
42,3.462359989687476,1108
43,4.010455103424995,1110
44,2.766937023835921,1097
45,1.4448552792634786,1092
46,3.0834265598645825,1098
47,3.5448883849975044,1096
48,2.1956958383677962,1101
49,4.684948458460772,1106
50,4.1657135407761565,1096
51,2.741815231950131,1106
52,2.35654703991953,1089
53,3.8213835471514184,1103
54,3.2822511026999663,1100
55,4.380788107730821,1098
56,3.0714482926532494,1099
57,3.9490702087519978,1090
58,4.522705189923199,1088
59,3.700863212694328,1088
60,4.267819299720147,1116
61,3.6707091642965697,1089
62,3.1553591808164043,1113
63,4.03870090098312,1090
64,1.6521097301558232,1095
65,3.7901966632161006,1107
66,1.7529867137136215,1095
67,1.364311545187494,1099
68,4.544564474275319,1120
69,4.246563961578813,1093
70,2.279795702445698,1094
71,1.6796309267181027,1102
72,2.915542497479116,1105
73,4.680020692090055,1089
74,2.8121584466277056,1102
75,1.4370642000307026,1092
76,2.961216611553535,1106
