sample_ind,rho,sim_steps
264,3.6420661195964428,925
265,3.2860158499797834,943
266,2.2634594120931,921
267,3.423458294565126,920
268,2.2988364536684074,921
269,3.2925840003256788,939
270,3.139651341433087,918
271,2.2488125542889,922
272,2.7677708654001734,944
273,-0.01908324596025679,368
274,2.2682179809631133,921
275,3.4202083936050585,941
276,3.031799478538227,946
277,2.2595866330673946,918
278,3.448291453965348,921
279,2.482020379295429,950
280,2.299177400265272,921
281,-0.07536566474014705,480
282,3.3376691015175997,942
283,3.0715553191096507,921
284,3.3492334728220605,920
285,2.2801197564924927,918
286,2.6969614032050906,922
287,2.287536452342371,920
288,3.303006727544675,948
289,2.269900036588492,918
290,3.8904013688942456,926
291,2.410163561433988,949
292,2.4951875654658746,948
293,4.021254361474485,918
294,2.525609059835097,955
295,2.5539533637858503,947
296,3.159652183816368,938
297,3.1608952444579455,938
298,-0.01717688104499082,380
299,3.8236669819348297,919
300,2.238067464750877,919
301,-0.02320295434440922,458
302,2.9359764309753755,944
303,-0.04539859518757261,392
304,2.932790197788788,944
305,2.7999710722312017,919
306,3.038870888855106,922
307,4.182714647006998,923
308,3.7720468505152436,918
309,3.83422300753994,933
310,3.7929832427607355,937
311,-0.05465659617151353,388
312,2.2700123910729673,921
313,3.246488409092402,947
