sample_ind,rho,sim_steps
54,3.2835093524965746,1762
55,2.450287003494629,1768
56,2.4835290270523895,2010
57,4.223331477097782,1755
58,3.3822815824987327,1995
59,1.72891440504233,2023
60,2.5430743348061746,1769
61,3.919386111712205,1778
62,4.057075931760725,1744
63,3.3090894164080993,1766
64,4.220280146496188,1753
65,4.151870204440414,1738
66,2.7130730947073634,2000
67,2.236210571782637,1986
68,3.463662239354182,1751
69,3.2427121594389288,1999
70,3.3179191273098976,1761
71,4.07867720082759,2005
72,-0.046286563331284114,1678
