sample_ind,sample
150,SpacePoint(objects=StructPoint(object0=StructPoint(angularSpeed=0.0, controller=None, elevation=None, heading=-0.044559686442869846, lastActions=None, length=1.0, position=(-62.53281910484088, -105.95151143088742), positionOffset=(0.0, 0.0), resetController=True, rotationOffset=0.0, speed=0.0, type='Follower', velocity=(0.0, 0.0), webotsName='FOLLOWER', webotsObject=None, webotsType=None, width=1.0), object1=StructPoint(angularSpeed=0.0, color=[0.5, 0.5, 0.5], controller=None, elevation=None, heading=0.0, lastActions=None, length=1.0, position=(17.31818181818182, -37.214285714285715), positionOffset=(0.0, 0.0), resetController=True, rotationOffset=0.0, speed=0.0, type='ObstacleL', velocity=(0.0, 0.0), webotsName='OBSTACLE', webotsObject=None, webotsType=None, width=1.0), object2=StructPoint(angularSpeed=0.0, color=[0.5, 0.5, 0.5], controller=None, elevation=None, heading=0.0, lastActions=None, length=1.0, position=(51.80612244897959, -13.833333333333332), positionOffset=(0.0, 0.0), resetController=True, rotationOffset=0.0, speed=0.0, type='ObstacleS', velocity=(0.0, 0.0), webotsName='OBSTACLE', webotsObject=None, webotsType=None, width=1.0), object3=StructPoint(angularSpeed=0.0, color=[1.0, 0.0, 0.0], controller=None, elevation=None, heading=0.0, lastActions=None, length=1.0, position=(58.21212121212121, -35.683673469387756), positionOffset=(0.0, 0.0), resetController=True, rotationOffset=0.0, speed=0.0, type='ObstacleR', velocity=(0.0, 0.0), webotsName='OBSTACLE', webotsObject=None, webotsType=None, width=1.0), object4=StructPoint(angularSpeed=0.0, controller=None, elevation=None, heading=0.0, ind='L', lastActions=None, length=1.0, mode='falsify', position=(0, 0), positionOffset=(0.0, 0.0), resetController=True, rotationOffset=0.0, speed=0.0, type='Scenario', velocity=(0.0, 0.0), webotsName='SCENARIO', webotsObject=None, webotsType=None, width=1.0), object5=StructPoint(angularSpeed=0.0, controller=None, elevation=None, heading=-0.08115991861400432, lastActions=None, length=1.0, position=(-55.17056641983742, -104.34699982031941), positionOffset=(0.0, 0.0), resetController=True, rotationOffset=0.0, speed=0.0, type='Lead', velocity=(0.0, 0.0), webotsName='LEAD', webotsObject=None, webotsType=None, width=1.0)), params=StructPoint())
151,SpacePoint(objects=StructPoint(object0=StructPoint(angularSpeed=0.0, controller=None, elevation=None, heading=-0.05807873748853119, lastActions=None, length=1.0, position=(-63.692643808881265, -104.71981781525635), positionOffset=(0.0, 0.0), resetController=True, rotationOffset=0.0, speed=0.0, type='Follower', velocity=(0.0, 0.0), webotsName='FOLLOWER', webotsObject=None, webotsType=None, width=1.0), object1=StructPoint(angularSpeed=0.0, color=[0.0, 0.5, 0.0], controller=None, elevation=None, heading=0.0, lastActions=None, length=1.0, position=(24.742424242424242, -53.33673469387755), positionOffset=(0.0, 0.0), resetController=True, rotationOffset=0.0, speed=0.0, type='ObstacleL', velocity=(0.0, 0.0), webotsName='OBSTACLE', webotsObject=None, webotsType=None, width=1.0), object2=StructPoint(angularSpeed=0.0, color=[0.0, 0.5, 0.0], controller=None, elevation=None, heading=0.0, lastActions=None, length=1.0, position=(36.05102040816327, -20.651515151515152), positionOffset=(0.0, 0.0), resetController=True, rotationOffset=0.0, speed=0.0, type='ObstacleS', velocity=(0.0, 0.0), webotsName='OBSTACLE', webotsObject=None, webotsType=None, width=1.0), object3=StructPoint(angularSpeed=0.0, color=[1.0, 0.0, 0.0], controller=None, elevation=None, heading=0.0, lastActions=None, length=1.0, position=(63.868686868686865, -52.724489795918366), positionOffset=(0.0, 0.0), resetController=True, rotationOffset=0.0, speed=0.0, type='ObstacleR', velocity=(0.0, 0.0), webotsName='OBSTACLE', webotsObject=None, webotsType=None, width=1.0), object4=StructPoint(angularSpeed=0.0, controller=None, elevation=None, heading=0.0, ind='R', lastActions=None, length=1.0, mode='falsify', position=(0, 0), positionOffset=(0.0, 0.0), resetController=True, rotationOffset=0.0, speed=0.0, type='Scenario', velocity=(0.0, 0.0), webotsName='SCENARIO', webotsObject=None, webotsType=None, width=1.0), object5=StructPoint(angularSpeed=0.0, controller=None, elevation=None, heading=-0.051446642114473945, lastActions=None, length=1.0, position=(-55.83004645785866, -104.55506073677141), positionOffset=(0.0, 0.0), resetController=True, rotationOffset=0.0, speed=0.0, type='Lead', velocity=(0.0, 0.0), webotsName='LEAD', webotsObject=None, webotsType=None, width=1.0)), params=StructPoint())
152,SpacePoint(objects=StructPoint(object0=StructPoint(angularSpeed=0.0, controller=None, elevation=None, heading=-0.07749176778083264, lastActions=None, length=1.0, position=(-63.51664003180564, -104.4297653494425), positionOffset=(0.0, 0.0), resetController=True, rotationOffset=0.0, speed=0.0, type='Follower', velocity=(0.0, 0.0), webotsName='FOLLOWER', webotsObject=None, webotsType=None, width=1.0), object1=StructPoint(angularSpeed=0.0, color=[0.0, 0.0, 0.0], controller=None, elevation=None, heading=0.0, lastActions=None, length=1.0, position=(10.651515151515152, -37.826530612244895), positionOffset=(0.0, 0.0), resetController=True, rotationOffset=0.0, speed=0.0, type='ObstacleL', velocity=(0.0, 0.0), webotsName='OBSTACLE', webotsObject=None, webotsType=None, width=1.0), object2=StructPoint(angularSpeed=0.0, color=[0.0, 0.0, 0.0], controller=None, elevation=None, heading=0.0, lastActions=None, length=1.0, position=(36.785714285714285, -17.31818181818182), positionOffset=(0.0, 0.0), resetController=True, rotationOffset=0.0, speed=0.0, type='ObstacleS', velocity=(0.0, 0.0), webotsName='OBSTACLE', webotsObject=None, webotsType=None, width=1.0), object3=StructPoint(angularSpeed=0.0, color=[0.0, 0.5, 0.0], controller=None, elevation=None, heading=0.0, lastActions=None, length=1.0, position=(62.15151515151515, -52.8469387755102), positionOffset=(0.0, 0.0), resetController=True, rotationOffset=0.0, speed=0.0, type='ObstacleR', velocity=(0.0, 0.0), webotsName='OBSTACLE', webotsObject=None, webotsType=None, width=1.0), object4=StructPoint(angularSpeed=0.0, controller=None, elevation=None, heading=0.0, ind='R', lastActions=None, length=1.0, mode='falsify', position=(0, 0), positionOffset=(0.0, 0.0), resetController=True, rotationOffset=0.0, speed=0.0, type='Scenario', velocity=(0.0, 0.0), webotsName='SCENARIO', webotsObject=None, webotsType=None, width=1.0), object5=StructPoint(angularSpeed=0.0, controller=None, elevation=None, heading=0.01389932343739662, lastActions=None, length=1.0, position=(-53.604096562026, -104.95533735253105), positionOffset=(0.0, 0.0), resetController=True, rotationOffset=0.0, speed=0.0, type='Lead', velocity=(0.0, 0.0), webotsName='LEAD', webotsObject=None, webotsType=None, width=1.0)), params=StructPoint())
153,SpacePoint(objects=StructPoint(object0=StructPoint(angularSpeed=0.0, controller=None, elevation=None, heading=-0.03929004308508592, lastActions=None, length=1.0, position=(-66.2021793777225, -104.35644977025343), positionOffset=(0.0, 0.0), resetController=True, rotationOffset=0.0, speed=0.0, type='Follower', velocity=(0.0, 0.0), webotsName='FOLLOWER', webotsObject=None, webotsType=None, width=1.0), object1=StructPoint(angularSpeed=0.0, color=[0.0, 0.0, 0.5], controller=None, elevation=None, heading=0.0, lastActions=None, length=1.0, position=(16.40909090909091, -52.66326530612245), positionOffset=(0.0, 0.0), resetController=True, rotationOffset=0.0, speed=0.0, type='ObstacleL', velocity=(0.0, 0.0), webotsName='OBSTACLE', webotsObject=None, webotsType=None, width=1.0), object2=StructPoint(angularSpeed=0.0, color=[1.0, 1.0, 1.0], controller=None, elevation=None, heading=0.0, lastActions=None, length=1.0, position=(36.54081632653061, -17.772727272727273), positionOffset=(0.0, 0.0), resetController=True, rotationOffset=0.0, speed=0.0, type='ObstacleS', velocity=(0.0, 0.0), webotsName='OBSTACLE', webotsObject=None, webotsType=None, width=1.0), object3=StructPoint(angularSpeed=0.0, color=[0.5, 0.5, 0.5], controller=None, elevation=None, heading=0.0, lastActions=None, length=1.0, position=(66.8989898989899, -36.96938775510204), positionOffset=(0.0, 0.0), resetController=True, rotationOffset=0.0, speed=0.0, type='ObstacleR', velocity=(0.0, 0.0), webotsName='OBSTACLE', webotsObject=None, webotsType=None, width=1.0), object4=StructPoint(angularSpeed=0.0, controller=None, elevation=None, heading=0.0, ind='S', lastActions=None, length=1.0, mode='falsify', position=(0, 0), positionOffset=(0.0, 0.0), resetController=True, rotationOffset=0.0, speed=0.0, type='Scenario', velocity=(0.0, 0.0), webotsName='SCENARIO', webotsObject=None, webotsType=None, width=1.0), object5=StructPoint(angularSpeed=0.0, controller=None, elevation=None, heading=-0.08205130974405454, lastActions=None, length=1.0, position=(-52.78699459104587, -104.99182513581717), positionOffset=(0.0, 0.0), resetController=True, rotationOffset=0.0, speed=0.0, type='Lead', velocity=(0.0, 0.0), webotsName='LEAD', webotsObject=None, webotsType=None, width=1.0)), params=StructPoint())
154,SpacePoint(objects=StructPoint(object0=StructPoint(angularSpeed=0.0, controller=None, elevation=None, heading=0.08508257270918314, lastActions=None, length=1.0, position=(-65.46588406155091, -104.94358910860018), positionOffset=(0.0, 0.0), resetController=True, rotationOffset=0.0, speed=0.0, type='Follower', velocity=(0.0, 0.0), webotsName='FOLLOWER', webotsObject=None, webotsType=None, width=1.0), object1=StructPoint(angularSpeed=0.0, color=[0.5, 0.0, 0.0], controller=None, elevation=None, heading=0.0, lastActions=None, length=1.0, position=(18.37878787878788, -53.94897959183673), positionOffset=(0.0, 0.0), resetController=True, rotationOffset=0.0, speed=0.0, type='ObstacleL', velocity=(0.0, 0.0), webotsName='OBSTACLE', webotsObject=None, webotsType=None, width=1.0), object2=StructPoint(angularSpeed=0.0, color=[1.0, 1.0, 1.0], controller=None, elevation=None, heading=0.0, lastActions=None, length=1.0, position=(52.11224489795919, -14.43939393939394), positionOffset=(0.0, 0.0), resetController=True, rotationOffset=0.0, speed=0.0, type='ObstacleS', velocity=(0.0, 0.0), webotsName='OBSTACLE', webotsObject=None, webotsType=None, width=1.0), object3=StructPoint(angularSpeed=0.0, color=[0.5, 0.0, 0.0], controller=None, elevation=None, heading=0.0, lastActions=None, length=1.0, position=(66.4949494949495, -36.05102040816327), positionOffset=(0.0, 0.0), resetController=True, rotationOffset=0.0, speed=0.0, type='ObstacleR', velocity=(0.0, 0.0), webotsName='OBSTACLE', webotsObject=None, webotsType=None, width=1.0), object4=StructPoint(angularSpeed=0.0, controller=None, elevation=None, heading=0.0, ind='R', lastActions=None, length=1.0, mode='falsify', position=(0, 0), positionOffset=(0.0, 0.0), resetController=True, rotationOffset=0.0, speed=0.0, type='Scenario', velocity=(0.0, 0.0), webotsName='SCENARIO', webotsObject=None, webotsType=None, width=1.0), object5=StructPoint(angularSpeed=0.0, controller=None, elevation=None, heading=-0.017205917394806654, lastActions=None, length=1.0, position=(-55.21277511934626, -105.53699800957897), positionOffset=(0.0, 0.0), resetController=True, rotationOffset=0.0, speed=0.0, type='Lead', velocity=(0.0, 0.0), webotsName='LEAD', webotsObject=None, webotsType=None, width=1.0)), params=StructPoint())
155,SpacePoint(objects=StructPoint(object0=StructPoint(angularSpeed=0.0, controller=None, elevation=None, heading=0.06039349617154097, lastActions=None, length=1.0, position=(-62.696698328539505, -105.91082815422322), positionOffset=(0.0, 0.0), resetController=True, rotationOffset=0.0, speed=0.0, type='Follower', velocity=(0.0, 0.0), webotsName='FOLLOWER', webotsObject=None, webotsType=None, width=1.0), object1=StructPoint(angularSpeed=0.0, color=[1.0, 0.0, 0.0], controller=None, elevation=None, heading=0.0, lastActions=None, length=1.0, position=(20.954545454545453, -51.683673469387756), positionOffset=(0.0, 0.0), resetController=True, rotationOffset=0.0, speed=0.0, type='ObstacleL', velocity=(0.0, 0.0), webotsName='OBSTACLE', webotsObject=None, webotsType=None, width=1.0), object2=StructPoint(angularSpeed=0.0, color=[1.0, 1.0, 1.0], controller=None, elevation=None, heading=0.0, lastActions=None, length=1.0, position=(37.45918367346939, -11.257575757575758), positionOffset=(0.0, 0.0), resetController=True, rotationOffset=0.0, speed=0.0, type='ObstacleS', velocity=(0.0, 0.0), webotsName='OBSTACLE', webotsObject=None, webotsType=None, width=1.0), object3=StructPoint(angularSpeed=0.0, color=[0.0, 0.0, 0.0], controller=None, elevation=None, heading=0.0, lastActions=None, length=1.0, position=(66.6969696969697, -37.33673469387755), positionOffset=(0.0, 0.0), resetController=True, rotationOffset=0.0, speed=0.0, type='ObstacleR', velocity=(0.0, 0.0), webotsName='OBSTACLE', webotsObject=None, webotsType=None, width=1.0), object4=StructPoint(angularSpeed=0.0, controller=None, elevation=None, heading=0.0, ind='S', lastActions=None, length=1.0, mode='falsify', position=(0, 0), positionOffset=(0.0, 0.0), resetController=True, rotationOffset=0.0, speed=0.0, type='Scenario', velocity=(0.0, 0.0), webotsName='SCENARIO', webotsObject=None, webotsType=None, width=1.0), object5=StructPoint(angularSpeed=0.0, controller=None, elevation=None, heading=-0.06576130132980165, lastActions=None, length=1.0, position=(-54.32583073551126, -105.50551509107578), positionOffset=(0.0, 0.0), resetController=True, rotationOffset=0.0, speed=0.0, type='Lead', velocity=(0.0, 0.0), webotsName='LEAD', webotsObject=None, webotsType=None, width=1.0)), params=StructPoint())
156,SpacePoint(objects=StructPoint(object0=StructPoint(angularSpeed=0.0, controller=None, elevation=None, heading=-0.06514543712008398, lastActions=None, length=1.0, position=(-66.30033108658947, -104.42846611968572), positionOffset=(0.0, 0.0), resetController=True, rotationOffset=0.0, speed=0.0, type='Follower', velocity=(0.0, 0.0), webotsName='FOLLOWER', webotsObject=None, webotsType=None, width=1.0), object1=StructPoint(angularSpeed=0.0, color=[1.0, 1.0, 1.0], controller=None, elevation=None, heading=0.0, lastActions=None, length=1.0, position=(11.106060606060606, -37.45918367346939), positionOffset=(0.0, 0.0), resetController=True, rotationOffset=0.0, speed=0.0, type='ObstacleL', velocity=(0.0, 0.0), webotsName='OBSTACLE', webotsObject=None, webotsType=None, width=1.0), object2=StructPoint(angularSpeed=0.0, color=[1.0, 0.0, 0.0], controller=None, elevation=None, heading=0.0, lastActions=None, length=1.0, position=(51.683673469387756, -17.46969696969697), positionOffset=(0.0, 0.0), resetController=True, rotationOffset=0.0, speed=0.0, type='ObstacleS', velocity=(0.0, 0.0), webotsName='OBSTACLE', webotsObject=None, webotsType=None, width=1.0), object3=StructPoint(angularSpeed=0.0, color=[0.0, 0.0, 1.0], controller=None, elevation=None, heading=0.0, lastActions=None, length=1.0, position=(62.15151515151515, -37.52040816326531), positionOffset=(0.0, 0.0), resetController=True, rotationOffset=0.0, speed=0.0, type='ObstacleR', velocity=(0.0, 0.0), webotsName='OBSTACLE', webotsObject=None, webotsType=None, width=1.0), object4=StructPoint(angularSpeed=0.0, controller=None, elevation=None, heading=0.0, ind='L', lastActions=None, length=1.0, mode='falsify', position=(0, 0), positionOffset=(0.0, 0.0), resetController=True, rotationOffset=0.0, speed=0.0, type='Scenario', velocity=(0.0, 0.0), webotsName='SCENARIO', webotsObject=None, webotsType=None, width=1.0), object5=StructPoint(angularSpeed=0.0, controller=None, elevation=None, heading=0.054374944309292975, lastActions=None, length=1.0, position=(-56.32086655540442, -104.90023675447699), positionOffset=(0.0, 0.0), resetController=True, rotationOffset=0.0, speed=0.0, type='Lead', velocity=(0.0, 0.0), webotsName='LEAD', webotsObject=None, webotsType=None, width=1.0)), params=StructPoint())
157,SpacePoint(objects=StructPoint(object0=StructPoint(angularSpeed=0.0, controller=None, elevation=None, heading=0.02342222081484621, lastActions=None, length=1.0, position=(-63.331291078325755, -104.03923655754976), positionOffset=(0.0, 0.0), resetController=True, rotationOffset=0.0, speed=0.0, type='Follower', velocity=(0.0, 0.0), webotsName='FOLLOWER', webotsObject=None, webotsType=None, width=1.0), object1=StructPoint(angularSpeed=0.0, color=[0.5, 0.0, 0.0], controller=None, elevation=None, heading=0.0, lastActions=None, length=1.0, position=(15.651515151515152, -35.80612244897959), positionOffset=(0.0, 0.0), resetController=True, rotationOffset=0.0, speed=0.0, type='ObstacleL', velocity=(0.0, 0.0), webotsName='OBSTACLE', webotsObject=None, webotsType=None, width=1.0), object2=StructPoint(angularSpeed=0.0, color=[1.0, 0.0, 0.0], controller=None, elevation=None, heading=0.0, lastActions=None, length=1.0, position=(37.58163265306123, -12.015151515151516), positionOffset=(0.0, 0.0), resetController=True, rotationOffset=0.0, speed=0.0, type='ObstacleS', velocity=(0.0, 0.0), webotsName='OBSTACLE', webotsObject=None, webotsType=None, width=1.0), object3=StructPoint(angularSpeed=0.0, color=[0.0, 0.5, 0.0], controller=None, elevation=None, heading=0.0, lastActions=None, length=1.0, position=(59.62626262626263, -52.47959183673469), positionOffset=(0.0, 0.0), resetController=True, rotationOffset=0.0, speed=0.0, type='ObstacleR', velocity=(0.0, 0.0), webotsName='OBSTACLE', webotsObject=None, webotsType=None, width=1.0), object4=StructPoint(angularSpeed=0.0, controller=None, elevation=None, heading=0.0, ind='L', lastActions=None, length=1.0, mode='falsify', position=(0, 0), positionOffset=(0.0, 0.0), resetController=True, rotationOffset=0.0, speed=0.0, type='Scenario', velocity=(0.0, 0.0), webotsName='SCENARIO', webotsObject=None, webotsType=None, width=1.0), object5=StructPoint(angularSpeed=0.0, controller=None, elevation=None, heading=0.07107024020707288, lastActions=None, length=1.0, position=(-54.744351362252814, -105.29485687263373), positionOffset=(0.0, 0.0), resetController=True, rotationOffset=0.0, speed=0.0, type='Lead', velocity=(0.0, 0.0), webotsName='LEAD', webotsObject=None, webotsType=None, width=1.0)), params=StructPoint())
158,SpacePoint(objects=StructPoint(object0=StructPoint(angularSpeed=0.0, controller=None, elevation=None, heading=0.07196511882755434, lastActions=None, length=1.0, position=(-62.7383066141701, -105.92946359424556), positionOffset=(0.0, 0.0), resetController=True, rotationOffset=0.0, speed=0.0, type='Follower', velocity=(0.0, 0.0), webotsName='FOLLOWER', webotsObject=None, webotsType=None, width=1.0), object1=StructPoint(angularSpeed=0.0, color=[1.0, 1.0, 1.0], controller=None, elevation=None, heading=0.0, lastActions=None, length=1.0, position=(18.53030303030303, -53.275510204081634), positionOffset=(0.0, 0.0), resetController=True, rotationOffset=0.0, speed=0.0, type='ObstacleL', velocity=(0.0, 0.0), webotsName='OBSTACLE', webotsObject=None, webotsType=None, width=1.0), object2=StructPoint(angularSpeed=0.0, color=[0.5, 0.0, 0.0], controller=None, elevation=None, heading=0.0, lastActions=None, length=1.0, position=(36.11224489795919, -11.106060606060606), positionOffset=(0.0, 0.0), resetController=True, rotationOffset=0.0, speed=0.0, type='ObstacleS', velocity=(0.0, 0.0), webotsName='OBSTACLE', webotsObject=None, webotsType=None, width=1.0), object3=StructPoint(angularSpeed=0.0, color=[0.0, 1.0, 0.0], controller=None, elevation=None, heading=0.0, lastActions=None, length=1.0, position=(64.87878787878788, -51.62244897959184), positionOffset=(0.0, 0.0), resetController=True, rotationOffset=0.0, speed=0.0, type='ObstacleR', velocity=(0.0, 0.0), webotsName='OBSTACLE', webotsObject=None, webotsType=None, width=1.0), object4=StructPoint(angularSpeed=0.0, controller=None, elevation=None, heading=0.0, ind='L', lastActions=None, length=1.0, mode='falsify', position=(0, 0), positionOffset=(0.0, 0.0), resetController=True, rotationOffset=0.0, speed=0.0, type='Scenario', velocity=(0.0, 0.0), webotsName='SCENARIO', webotsObject=None, webotsType=None, width=1.0), object5=StructPoint(angularSpeed=0.0, controller=None, elevation=None, heading=-0.07177574446426786, lastActions=None, length=1.0, position=(-54.738720740819446, -105.37205076158595), positionOffset=(0.0, 0.0), resetController=True, rotationOffset=0.0, speed=0.0, type='Lead', velocity=(0.0, 0.0), webotsName='LEAD', webotsObject=None, webotsType=None, width=1.0)), params=StructPoint())
159,SpacePoint(objects=StructPoint(object0=StructPoint(angularSpeed=0.0, controller=None, elevation=None, heading=0.05342476442394588, lastActions=None, length=1.0, position=(-64.5416347218611, -104.20119161015532), positionOffset=(0.0, 0.0), resetController=True, rotationOffset=0.0, speed=0.0, type='Follower', velocity=(0.0, 0.0), webotsName='FOLLOWER', webotsObject=None, webotsType=None, width=1.0), object1=StructPoint(angularSpeed=0.0, color=[0.0, 0.0, 1.0], controller=None, elevation=None, heading=0.0, lastActions=None, length=1.0, position=(23.53030303030303, -37.39795918367347), positionOffset=(0.0, 0.0), resetController=True, rotationOffset=0.0, speed=0.0, type='ObstacleL', velocity=(0.0, 0.0), webotsName='OBSTACLE', webotsObject=None, webotsType=None, width=1.0), object2=StructPoint(angularSpeed=0.0, color=[0.0, 1.0, 0.0], controller=None, elevation=None, heading=0.0, lastActions=None, length=1.0, position=(54.43877551020408, -15.65151515151515), positionOffset=(0.0, 0.0), resetController=True, rotationOffset=0.0, speed=0.0, type='ObstacleS', velocity=(0.0, 0.0), webotsName='OBSTACLE', webotsObject=None, webotsType=None, width=1.0), object3=StructPoint(angularSpeed=0.0, color=[0.0, 1.0, 0.0], controller=None, elevation=None, heading=0.0, lastActions=None, length=1.0, position=(66.8989898989899, -36.785714285714285), positionOffset=(0.0, 0.0), resetController=True, rotationOffset=0.0, speed=0.0, type='ObstacleR', velocity=(0.0, 0.0), webotsName='OBSTACLE', webotsObject=None, webotsType=None, width=1.0), object4=StructPoint(angularSpeed=0.0, controller=None, elevation=None, heading=0.0, ind='L', lastActions=None, length=1.0, mode='falsify', position=(0, 0), positionOffset=(0.0, 0.0), resetController=True, rotationOffset=0.0, speed=0.0, type='Scenario', velocity=(0.0, 0.0), webotsName='SCENARIO', webotsObject=None, webotsType=None, width=1.0), object5=StructPoint(angularSpeed=0.0, controller=None, elevation=None, heading=-0.07009476378967634, lastActions=None, length=1.0, position=(-56.39435021519014, -104.42988474139536), positionOffset=(0.0, 0.0), resetController=True, rotationOffset=0.0, speed=0.0, type='Lead', velocity=(0.0, 0.0), webotsName='LEAD', webotsObject=None, webotsType=None, width=1.0)), params=StructPoint())
160,SpacePoint(objects=StructPoint(object0=StructPoint(angularSpeed=0.0, controller=None, elevation=None, heading=-0.011324838314519114, lastActions=None, length=1.0, position=(-64.7547299382475, -104.94913272863934), positionOffset=(0.0, 0.0), resetController=True, rotationOffset=0.0, speed=0.0, type='Follower', velocity=(0.0, 0.0), webotsName='FOLLOWER', webotsObject=None, webotsType=None, width=1.0), object1=StructPoint(angularSpeed=0.0, color=[1.0, 1.0, 1.0], controller=None, elevation=None, heading=0.0, lastActions=None, length=1.0, position=(21.863636363636363, -36.41836734693877), positionOffset=(0.0, 0.0), resetController=True, rotationOffset=0.0, speed=0.0, type='ObstacleL', velocity=(0.0, 0.0), webotsName='OBSTACLE', webotsObject=None, webotsType=None, width=1.0), object2=StructPoint(angularSpeed=0.0, color=[1.0, 0.0, 0.0], controller=None, elevation=None, heading=0.0, lastActions=None, length=1.0, position=(53.33673469387755, -17.62121212121212), positionOffset=(0.0, 0.0), resetController=True, rotationOffset=0.0, speed=0.0, type='ObstacleS', velocity=(0.0, 0.0), webotsName='OBSTACLE', webotsObject=None, webotsType=None, width=1.0), object3=StructPoint(angularSpeed=0.0, color=[0.0, 0.0, 1.0], controller=None, elevation=None, heading=0.0, lastActions=None, length=1.0, position=(57.2020202020202, -52.29591836734694), positionOffset=(0.0, 0.0), resetController=True, rotationOffset=0.0, speed=0.0, type='ObstacleR', velocity=(0.0, 0.0), webotsName='OBSTACLE', webotsObject=None, webotsType=None, width=1.0), object4=StructPoint(angularSpeed=0.0, controller=None, elevation=None, heading=0.0, ind='S', lastActions=None, length=1.0, mode='falsify', position=(0, 0), positionOffset=(0.0, 0.0), resetController=True, rotationOffset=0.0, speed=0.0, type='Scenario', velocity=(0.0, 0.0), webotsName='SCENARIO', webotsObject=None, webotsType=None, width=1.0), object5=StructPoint(angularSpeed=0.0, controller=None, elevation=None, heading=0.007358390059255572, lastActions=None, length=1.0, position=(-54.89562602579694, -104.48191197957561), positionOffset=(0.0, 0.0), resetController=True, rotationOffset=0.0, speed=0.0, type='Lead', velocity=(0.0, 0.0), webotsName='LEAD', webotsObject=None, webotsType=None, width=1.0)), params=StructPoint())
