sample_ind,rho,sim_steps
286,2.2983982429424783,1208
287,3.558408789902753,1204
288,3.983914926663749,1221
289,2.1055376105573167,1199
290,3.590210290343183,1215
291,3.742189403284966,1208
292,4.18972023195097,1200
293,3.5504771682659673,1210
294,3.72002093166728,1204
295,3.808975366239137,1211
296,4.42228326381076,1217
297,2.8492599402615104,1201
298,-0.028842734999930286,764
299,3.3103551057600598,1203
300,1.9556110323919276,1210
301,-0.09263959073839612,744
302,2.239179244946154,1203
303,2.858174376311611,1216
304,4.607208092422466,1211
305,4.492717641364463,1230
306,2.854588910236319,1199
307,4.414458572724193,1199
308,-0.03294811193411018,611
309,4.394521482968107,1225
310,3.4186890380396697,1213
311,4.507320670402297,1203
312,4.704631329984467,1216
313,4.293063622449061,1207
314,4.521929756472824,1223
315,2.168695052810384,1216
