sample_ind,sample
286,SpacePoint(objects=StructPoint(object0=StructPoint(angularSpeed=0.0, controller=None, elevation=None, heading=-1.5397792338156526, lastActions=None, length=1.0, position=(-105.8927998010633, 2.7937562894585275), positionOffset=(0.0, 0.0), resetController=True, rotationOffset=0.0, speed=0.0, type='Follower', velocity=(0.0, 0.0), webotsName='FOLLOWER', webotsObject=None, webotsType=None, width=1.0), object1=StructPoint(angularSpeed=0.0, controller=None, elevation=None, heading=0.0, ind='0B', lastActions=None, length=1.0, mode='smc', position=(0, 0), positionOffset=(0.0, 0.0), resetController=True, rotationOffset=0.0, speed=0.0, type='Subscenario', velocity=(0.0, 0.0), webotsName='SUBSCENARIO', webotsObject=None, webotsType=None, width=1.0), object2=StructPoint(angularSpeed=0.0, controller=None, elevation=None, heading=0.0, lastActions=None, length=1.0, position=(-112.11259857752506, -38.930433732455256), positionOffset=(0.0, 0.0), resetController=True, rotationOffset=0.0, speed=0.0, type='OilBarrel1', velocity=(0.0, 0.0), webotsName='OIL_BARREL_1', webotsObject=None, webotsType=None, width=1.0), object3=StructPoint(angularSpeed=0.0, controller=None, elevation=None, heading=0.0, lastActions=None, length=1.0, position=(-104.06146962479092, -52.6916306083331), positionOffset=(0.0, 0.0), resetController=True, rotationOffset=0.0, speed=0.0, type='OilBarrel2', velocity=(0.0, 0.0), webotsName='OIL_BARREL_2', webotsObject=None, webotsType=None, width=1.0), object4=StructPoint(angularSpeed=0.0, controller=None, elevation=None, heading=0.0, lastActions=None, length=1.0, position=(-108.70289224353678, -61.25417458247465), positionOffset=(0.0, 0.0), resetController=True, rotationOffset=0.0, speed=0.0, type='OilBarrel3', velocity=(0.0, 0.0), webotsName='OIL_BARREL_3', webotsObject=None, webotsType=None, width=1.0), object5=StructPoint(angularSpeed=0.0, controller=None, elevation=None, heading=-1.575846968283596, lastActions=None, length=1.0, position=(-105.10696121262204, -4.487815853243489), positionOffset=(0.0, 0.0), resetController=True, rotationOffset=0.0, speed=0.0, type='Lead', velocity=(0.0, -0.0), webotsName='LEAD', webotsObject=None, webotsType=None, width=1.0)), params=StructPoint())
287,SpacePoint(objects=StructPoint(object0=StructPoint(angularSpeed=0.0, controller=None, elevation=None, heading=-1.531097304538354, lastActions=None, length=1.0, position=(-104.5261298711536, 4.4979537914105325), positionOffset=(0.0, 0.0), resetController=True, rotationOffset=0.0, speed=0.0, type='Follower', velocity=(0.0, 0.0), webotsName='FOLLOWER', webotsObject=None, webotsType=None, width=1.0), object1=StructPoint(angularSpeed=0.0, controller=None, elevation=None, heading=0.0, ind='0B', lastActions=None, length=1.0, mode='smc', position=(0, 0), positionOffset=(0.0, 0.0), resetController=True, rotationOffset=0.0, speed=0.0, type='Subscenario', velocity=(0.0, 0.0), webotsName='SUBSCENARIO', webotsObject=None, webotsType=None, width=1.0), object2=StructPoint(angularSpeed=0.0, controller=None, elevation=None, heading=0.0, lastActions=None, length=1.0, position=(-102.41380345099373, -30.82279133294484), positionOffset=(0.0, 0.0), resetController=True, rotationOffset=0.0, speed=0.0, type='OilBarrel1', velocity=(0.0, 0.0), webotsName='OIL_BARREL_1', webotsObject=None, webotsType=None, width=1.0), object3=StructPoint(angularSpeed=0.0, controller=None, elevation=None, heading=0.0, lastActions=None, length=1.0, position=(-114.00228945314667, -55.644941313701516), positionOffset=(0.0, 0.0), resetController=True, rotationOffset=0.0, speed=0.0, type='OilBarrel2', velocity=(0.0, 0.0), webotsName='OIL_BARREL_2', webotsObject=None, webotsType=None, width=1.0), object4=StructPoint(angularSpeed=0.0, controller=None, elevation=None, heading=0.0, lastActions=None, length=1.0, position=(-112.33843268167264, -67.50284565431136), positionOffset=(0.0, 0.0), resetController=True, rotationOffset=0.0, speed=0.0, type='OilBarrel3', velocity=(0.0, 0.0), webotsName='OIL_BARREL_3', webotsObject=None, webotsType=None, width=1.0), object5=StructPoint(angularSpeed=0.0, controller=None, elevation=None, heading=-1.5672245765707364, lastActions=None, length=1.0, position=(-104.28206720261613, -6.493197679143805), positionOffset=(0.0, 0.0), resetController=True, rotationOffset=0.0, speed=0.0, type='Lead', velocity=(0.0, 0.0), webotsName='LEAD', webotsObject=None, webotsType=None, width=1.0)), params=StructPoint())
288,SpacePoint(objects=StructPoint(object0=StructPoint(angularSpeed=0.0, controller=None, elevation=None, heading=-1.513565208063275, lastActions=None, length=1.0, position=(-105.82524057306222, 4.940555289759525), positionOffset=(0.0, 0.0), resetController=True, rotationOffset=0.0, speed=0.0, type='Follower', velocity=(0.0, 0.0), webotsName='FOLLOWER', webotsObject=None, webotsType=None, width=1.0), object1=StructPoint(angularSpeed=0.0, controller=None, elevation=None, heading=0.0, ind='0B', lastActions=None, length=1.0, mode='smc', position=(0, 0), positionOffset=(0.0, 0.0), resetController=True, rotationOffset=0.0, speed=0.0, type='Subscenario', velocity=(0.0, 0.0), webotsName='SUBSCENARIO', webotsObject=None, webotsType=None, width=1.0), object2=StructPoint(angularSpeed=0.0, controller=None, elevation=None, heading=0.0, lastActions=None, length=1.0, position=(-113.58534174737254, -42.69086891686124), positionOffset=(0.0, 0.0), resetController=True, rotationOffset=0.0, speed=0.0, type='OilBarrel1', velocity=(0.0, 0.0), webotsName='OIL_BARREL_1', webotsObject=None, webotsType=None, width=1.0), object3=StructPoint(angularSpeed=0.0, controller=None, elevation=None, heading=0.0, lastActions=None, length=1.0, position=(-101.0678727569242, -54.49988054034166), positionOffset=(0.0, 0.0), resetController=True, rotationOffset=0.0, speed=0.0, type='OilBarrel2', velocity=(0.0, 0.0), webotsName='OIL_BARREL_2', webotsObject=None, webotsType=None, width=1.0), object4=StructPoint(angularSpeed=0.0, controller=None, elevation=None, heading=0.0, lastActions=None, length=1.0, position=(-109.74369073362418, -65.05307039233294), positionOffset=(0.0, 0.0), resetController=True, rotationOffset=0.0, speed=0.0, type='OilBarrel3', velocity=(0.0, 0.0), webotsName='OIL_BARREL_3', webotsObject=None, webotsType=None, width=1.0), object5=StructPoint(angularSpeed=0.0, controller=None, elevation=None, heading=-1.4885936222252645, lastActions=None, length=1.0, position=(-105.97758833606586, -4.170580759012658), positionOffset=(0.0, 0.0), resetController=True, rotationOffset=0.0, speed=0.0, type='Lead', velocity=(0.0, 0.0), webotsName='LEAD', webotsObject=None, webotsType=None, width=1.0)), params=StructPoint())
289,SpacePoint(objects=StructPoint(object0=StructPoint(angularSpeed=0.0, controller=None, elevation=None, heading=-1.5186077286575284, lastActions=None, length=1.0, position=(-104.84657350687534, 5.30463823393214), positionOffset=(0.0, 0.0), resetController=True, rotationOffset=0.0, speed=0.0, type='Follower', velocity=(0.0, 0.0), webotsName='FOLLOWER', webotsObject=None, webotsType=None, width=1.0), object1=StructPoint(angularSpeed=0.0, controller=None, elevation=None, heading=0.0, ind='0B', lastActions=None, length=1.0, mode='smc', position=(0, 0), positionOffset=(0.0, 0.0), resetController=True, rotationOffset=0.0, speed=0.0, type='Subscenario', velocity=(0.0, 0.0), webotsName='SUBSCENARIO', webotsObject=None, webotsType=None, width=1.0), object2=StructPoint(angularSpeed=0.0, controller=None, elevation=None, heading=0.0, lastActions=None, length=1.0, position=(-98.21053214048929, -44.4732612514231), positionOffset=(0.0, 0.0), resetController=True, rotationOffset=0.0, speed=0.0, type='OilBarrel1', velocity=(0.0, 0.0), webotsName='OIL_BARREL_1', webotsObject=None, webotsType=None, width=1.0), object3=StructPoint(angularSpeed=0.0, controller=None, elevation=None, heading=0.0, lastActions=None, length=1.0, position=(-104.92577050002912, -55.96646595606197), positionOffset=(0.0, 0.0), resetController=True, rotationOffset=0.0, speed=0.0, type='OilBarrel2', velocity=(0.0, 0.0), webotsName='OIL_BARREL_2', webotsObject=None, webotsType=None, width=1.0), object4=StructPoint(angularSpeed=0.0, controller=None, elevation=None, heading=0.0, lastActions=None, length=1.0, position=(-110.39396804723361, -72.75556656639486), positionOffset=(0.0, 0.0), resetController=True, rotationOffset=0.0, speed=0.0, type='OilBarrel3', velocity=(0.0, 0.0), webotsName='OIL_BARREL_3', webotsObject=None, webotsType=None, width=1.0), object5=StructPoint(angularSpeed=0.0, controller=None, elevation=None, heading=-1.6377154236548497, lastActions=None, length=1.0, position=(-104.40846981038368, -7.36698819398081), positionOffset=(0.0, 0.0), resetController=True, rotationOffset=0.0, speed=0.0, type='Lead', velocity=(0.0, -0.0), webotsName='LEAD', webotsObject=None, webotsType=None, width=1.0)), params=StructPoint())
290,SpacePoint(objects=StructPoint(object0=StructPoint(angularSpeed=0.0, controller=None, elevation=None, heading=-1.4972301351770065, lastActions=None, length=1.0, position=(-104.661442657919, 3.61182580995125), positionOffset=(0.0, 0.0), resetController=True, rotationOffset=0.0, speed=0.0, type='Follower', velocity=(0.0, 0.0), webotsName='FOLLOWER', webotsObject=None, webotsType=None, width=1.0), object1=StructPoint(angularSpeed=0.0, controller=None, elevation=None, heading=0.0, ind='0B', lastActions=None, length=1.0, mode='smc', position=(0, 0), positionOffset=(0.0, 0.0), resetController=True, rotationOffset=0.0, speed=0.0, type='Subscenario', velocity=(0.0, 0.0), webotsName='SUBSCENARIO', webotsObject=None, webotsType=None, width=1.0), object2=StructPoint(angularSpeed=0.0, controller=None, elevation=None, heading=0.0, lastActions=None, length=1.0, position=(-104.67938791688427, -40.22435052639853), positionOffset=(0.0, 0.0), resetController=True, rotationOffset=0.0, speed=0.0, type='OilBarrel1', velocity=(0.0, 0.0), webotsName='OIL_BARREL_1', webotsObject=None, webotsType=None, width=1.0), object3=StructPoint(angularSpeed=0.0, controller=None, elevation=None, heading=0.0, lastActions=None, length=1.0, position=(-114.24140662431032, -47.873970464716905), positionOffset=(0.0, 0.0), resetController=True, rotationOffset=0.0, speed=0.0, type='OilBarrel2', velocity=(0.0, 0.0), webotsName='OIL_BARREL_2', webotsObject=None, webotsType=None, width=1.0), object4=StructPoint(angularSpeed=0.0, controller=None, elevation=None, heading=0.0, lastActions=None, length=1.0, position=(-108.36881927104503, -64.20266549659152), positionOffset=(0.0, 0.0), resetController=True, rotationOffset=0.0, speed=0.0, type='OilBarrel3', velocity=(0.0, 0.0), webotsName='OIL_BARREL_3', webotsObject=None, webotsType=None, width=1.0), object5=StructPoint(angularSpeed=0.0, controller=None, elevation=None, heading=-1.5180096212143857, lastActions=None, length=1.0, position=(-104.03362152098754, -5.119199794322147), positionOffset=(0.0, 0.0), resetController=True, rotationOffset=0.0, speed=0.0, type='Lead', velocity=(0.0, 0.0), webotsName='LEAD', webotsObject=None, webotsType=None, width=1.0)), params=StructPoint())
291,SpacePoint(objects=StructPoint(object0=StructPoint(angularSpeed=0.0, controller=None, elevation=None, heading=-1.5679433533539586, lastActions=None, length=1.0, position=(-104.39418388575358, 4.4740010250947755), positionOffset=(0.0, 0.0), resetController=True, rotationOffset=0.0, speed=0.0, type='Follower', velocity=(0.0, 0.0), webotsName='FOLLOWER', webotsObject=None, webotsType=None, width=1.0), object1=StructPoint(angularSpeed=0.0, controller=None, elevation=None, heading=0.0, ind='0B', lastActions=None, length=1.0, mode='smc', position=(0, 0), positionOffset=(0.0, 0.0), resetController=True, rotationOffset=0.0, speed=0.0, type='Subscenario', velocity=(0.0, 0.0), webotsName='SUBSCENARIO', webotsObject=None, webotsType=None, width=1.0), object2=StructPoint(angularSpeed=0.0, controller=None, elevation=None, heading=0.0, lastActions=None, length=1.0, position=(-114.70774732295519, -32.61990569237978), positionOffset=(0.0, 0.0), resetController=True, rotationOffset=0.0, speed=0.0, type='OilBarrel1', velocity=(0.0, 0.0), webotsName='OIL_BARREL_1', webotsObject=None, webotsType=None, width=1.0), object3=StructPoint(angularSpeed=0.0, controller=None, elevation=None, heading=0.0, lastActions=None, length=1.0, position=(-100.08335231944818, -54.162406809703526), positionOffset=(0.0, 0.0), resetController=True, rotationOffset=0.0, speed=0.0, type='OilBarrel2', velocity=(0.0, 0.0), webotsName='OIL_BARREL_2', webotsObject=None, webotsType=None, width=1.0), object4=StructPoint(angularSpeed=0.0, controller=None, elevation=None, heading=0.0, lastActions=None, length=1.0, position=(-100.11479160798358, -72.40721729238629), positionOffset=(0.0, 0.0), resetController=True, rotationOffset=0.0, speed=0.0, type='OilBarrel3', velocity=(0.0, 0.0), webotsName='OIL_BARREL_3', webotsObject=None, webotsType=None, width=1.0), object5=StructPoint(angularSpeed=0.0, controller=None, elevation=None, heading=-1.6467642992057834, lastActions=None, length=1.0, position=(-104.4409671209017, -6.034077567684001), positionOffset=(0.0, 0.0), resetController=True, rotationOffset=0.0, speed=0.0, type='Lead', velocity=(0.0, -0.0), webotsName='LEAD', webotsObject=None, webotsType=None, width=1.0)), params=StructPoint())
292,SpacePoint(objects=StructPoint(object0=StructPoint(angularSpeed=0.0, controller=None, elevation=None, heading=-1.5701358053646388, lastActions=None, length=1.0, position=(-105.4584946261418, 3.79405911706817), positionOffset=(0.0, 0.0), resetController=True, rotationOffset=0.0, speed=0.0, type='Follower', velocity=(0.0, 0.0), webotsName='FOLLOWER', webotsObject=None, webotsType=None, width=1.0), object1=StructPoint(angularSpeed=0.0, controller=None, elevation=None, heading=0.0, ind='0B', lastActions=None, length=1.0, mode='smc', position=(0, 0), positionOffset=(0.0, 0.0), resetController=True, rotationOffset=0.0, speed=0.0, type='Subscenario', velocity=(0.0, 0.0), webotsName='SUBSCENARIO', webotsObject=None, webotsType=None, width=1.0), object2=StructPoint(angularSpeed=0.0, controller=None, elevation=None, heading=0.0, lastActions=None, length=1.0, position=(-102.70205872049902, -33.80174288750499), positionOffset=(0.0, 0.0), resetController=True, rotationOffset=0.0, speed=0.0, type='OilBarrel1', velocity=(0.0, 0.0), webotsName='OIL_BARREL_1', webotsObject=None, webotsType=None, width=1.0), object3=StructPoint(angularSpeed=0.0, controller=None, elevation=None, heading=0.0, lastActions=None, length=1.0, position=(-96.84572430617442, -58.87776494795543), positionOffset=(0.0, 0.0), resetController=True, rotationOffset=0.0, speed=0.0, type='OilBarrel2', velocity=(0.0, 0.0), webotsName='OIL_BARREL_2', webotsObject=None, webotsType=None, width=1.0), object4=StructPoint(angularSpeed=0.0, controller=None, elevation=None, heading=0.0, lastActions=None, length=1.0, position=(-102.24852106978055, -64.32849548039664), positionOffset=(0.0, 0.0), resetController=True, rotationOffset=0.0, speed=0.0, type='OilBarrel3', velocity=(0.0, 0.0), webotsName='OIL_BARREL_3', webotsObject=None, webotsType=None, width=1.0), object5=StructPoint(angularSpeed=0.0, controller=None, elevation=None, heading=-1.4885860489678233, lastActions=None, length=1.0, position=(-105.79481553031766, -6.712169032836482), positionOffset=(0.0, 0.0), resetController=True, rotationOffset=0.0, speed=0.0, type='Lead', velocity=(0.0, 0.0), webotsName='LEAD', webotsObject=None, webotsType=None, width=1.0)), params=StructPoint())
293,SpacePoint(objects=StructPoint(object0=StructPoint(angularSpeed=0.0, controller=None, elevation=None, heading=-1.6027252822062201, lastActions=None, length=1.0, position=(-105.89925225835749, 5.022615100421406), positionOffset=(0.0, 0.0), resetController=True, rotationOffset=0.0, speed=0.0, type='Follower', velocity=(0.0, -0.0), webotsName='FOLLOWER', webotsObject=None, webotsType=None, width=1.0), object1=StructPoint(angularSpeed=0.0, controller=None, elevation=None, heading=0.0, ind='0B', lastActions=None, length=1.0, mode='smc', position=(0, 0), positionOffset=(0.0, 0.0), resetController=True, rotationOffset=0.0, speed=0.0, type='Subscenario', velocity=(0.0, 0.0), webotsName='SUBSCENARIO', webotsObject=None, webotsType=None, width=1.0), object2=StructPoint(angularSpeed=0.0, controller=None, elevation=None, heading=0.0, lastActions=None, length=1.0, position=(-95.48086924101686, -30.103575696868038), positionOffset=(0.0, 0.0), resetController=True, rotationOffset=0.0, speed=0.0, type='OilBarrel1', velocity=(0.0, 0.0), webotsName='OIL_BARREL_1', webotsObject=None, webotsType=None, width=1.0), object3=StructPoint(angularSpeed=0.0, controller=None, elevation=None, heading=0.0, lastActions=None, length=1.0, position=(-111.65856528636417, -57.29019966546031), positionOffset=(0.0, 0.0), resetController=True, rotationOffset=0.0, speed=0.0, type='OilBarrel2', velocity=(0.0, 0.0), webotsName='OIL_BARREL_2', webotsObject=None, webotsType=None, width=1.0), object4=StructPoint(angularSpeed=0.0, controller=None, elevation=None, heading=0.0, lastActions=None, length=1.0, position=(-106.64505020933238, -68.90619239100468), positionOffset=(0.0, 0.0), resetController=True, rotationOffset=0.0, speed=0.0, type='OilBarrel3', velocity=(0.0, 0.0), webotsName='OIL_BARREL_3', webotsObject=None, webotsType=None, width=1.0), object5=StructPoint(angularSpeed=0.0, controller=None, elevation=None, heading=-1.5963893220138348, lastActions=None, length=1.0, position=(-104.88247146822421, -5.8657120255221695), positionOffset=(0.0, 0.0), resetController=True, rotationOffset=0.0, speed=0.0, type='Lead', velocity=(0.0, -0.0), webotsName='LEAD', webotsObject=None, webotsType=None, width=1.0)), params=StructPoint())
294,SpacePoint(objects=StructPoint(object0=StructPoint(angularSpeed=0.0, controller=None, elevation=None, heading=-1.483561617893046, lastActions=None, length=1.0, position=(-104.81741548023372, 3.1734335081897433), positionOffset=(0.0, 0.0), resetController=True, rotationOffset=0.0, speed=0.0, type='Follower', velocity=(0.0, 0.0), webotsName='FOLLOWER', webotsObject=None, webotsType=None, width=1.0), object1=StructPoint(angularSpeed=0.0, controller=None, elevation=None, heading=0.0, ind='0B', lastActions=None, length=1.0, mode='smc', position=(0, 0), positionOffset=(0.0, 0.0), resetController=True, rotationOffset=0.0, speed=0.0, type='Subscenario', velocity=(0.0, 0.0), webotsName='SUBSCENARIO', webotsObject=None, webotsType=None, width=1.0), object2=StructPoint(angularSpeed=0.0, controller=None, elevation=None, heading=0.0, lastActions=None, length=1.0, position=(-114.27363807436282, -31.692469515811887), positionOffset=(0.0, 0.0), resetController=True, rotationOffset=0.0, speed=0.0, type='OilBarrel1', velocity=(0.0, 0.0), webotsName='OIL_BARREL_1', webotsObject=None, webotsType=None, width=1.0), object3=StructPoint(angularSpeed=0.0, controller=None, elevation=None, heading=0.0, lastActions=None, length=1.0, position=(-111.36714321406805, -45.5293392526567), positionOffset=(0.0, 0.0), resetController=True, rotationOffset=0.0, speed=0.0, type='OilBarrel2', velocity=(0.0, 0.0), webotsName='OIL_BARREL_2', webotsObject=None, webotsType=None, width=1.0), object4=StructPoint(angularSpeed=0.0, controller=None, elevation=None, heading=0.0, lastActions=None, length=1.0, position=(-97.63837097798454, -71.8185147811607), positionOffset=(0.0, 0.0), resetController=True, rotationOffset=0.0, speed=0.0, type='OilBarrel3', velocity=(0.0, 0.0), webotsName='OIL_BARREL_3', webotsObject=None, webotsType=None, width=1.0), object5=StructPoint(angularSpeed=0.0, controller=None, elevation=None, heading=-1.4915440092744832, lastActions=None, length=1.0, position=(-105.77730065823191, -5.629120780338341), positionOffset=(0.0, 0.0), resetController=True, rotationOffset=0.0, speed=0.0, type='Lead', velocity=(0.0, 0.0), webotsName='LEAD', webotsObject=None, webotsType=None, width=1.0)), params=StructPoint())
295,SpacePoint(objects=StructPoint(object0=StructPoint(angularSpeed=0.0, controller=None, elevation=None, heading=-1.5996821839219766, lastActions=None, length=1.0, position=(-105.9687309039914, 4.148669366570875), positionOffset=(0.0, 0.0), resetController=True, rotationOffset=0.0, speed=0.0, type='Follower', velocity=(0.0, -0.0), webotsName='FOLLOWER', webotsObject=None, webotsType=None, width=1.0), object1=StructPoint(angularSpeed=0.0, controller=None, elevation=None, heading=0.0, ind='0B', lastActions=None, length=1.0, mode='smc', position=(0, 0), positionOffset=(0.0, 0.0), resetController=True, rotationOffset=0.0, speed=0.0, type='Subscenario', velocity=(0.0, 0.0), webotsName='SUBSCENARIO', webotsObject=None, webotsType=None, width=1.0), object2=StructPoint(angularSpeed=0.0, controller=None, elevation=None, heading=0.0, lastActions=None, length=1.0, position=(-114.34057223853465, -43.32711681872113), positionOffset=(0.0, 0.0), resetController=True, rotationOffset=0.0, speed=0.0, type='OilBarrel1', velocity=(0.0, 0.0), webotsName='OIL_BARREL_1', webotsObject=None, webotsType=None, width=1.0), object3=StructPoint(angularSpeed=0.0, controller=None, elevation=None, heading=0.0, lastActions=None, length=1.0, position=(-95.80864342204275, -50.25238909017544), positionOffset=(0.0, 0.0), resetController=True, rotationOffset=0.0, speed=0.0, type='OilBarrel2', velocity=(0.0, 0.0), webotsName='OIL_BARREL_2', webotsObject=None, webotsType=None, width=1.0), object4=StructPoint(angularSpeed=0.0, controller=None, elevation=None, heading=0.0, lastActions=None, length=1.0, position=(-112.52843651703103, -73.97223052594165), positionOffset=(0.0, 0.0), resetController=True, rotationOffset=0.0, speed=0.0, type='OilBarrel3', velocity=(0.0, 0.0), webotsName='OIL_BARREL_3', webotsObject=None, webotsType=None, width=1.0), object5=StructPoint(angularSpeed=0.0, controller=None, elevation=None, heading=-1.6471836980639278, lastActions=None, length=1.0, position=(-105.47504545198633, -4.814217325140387), positionOffset=(0.0, 0.0), resetController=True, rotationOffset=0.0, speed=0.0, type='Lead', velocity=(0.0, -0.0), webotsName='LEAD', webotsObject=None, webotsType=None, width=1.0)), params=StructPoint())
296,SpacePoint(objects=StructPoint(object0=StructPoint(angularSpeed=0.0, controller=None, elevation=None, heading=-1.5623198617342569, lastActions=None, length=1.0, position=(-105.82863240504003, 4.150850656568796), positionOffset=(0.0, 0.0), resetController=True, rotationOffset=0.0, speed=0.0, type='Follower', velocity=(0.0, 0.0), webotsName='FOLLOWER', webotsObject=None, webotsType=None, width=1.0), object1=StructPoint(angularSpeed=0.0, controller=None, elevation=None, heading=0.0, ind='0B', lastActions=None, length=1.0, mode='smc', position=(0, 0), positionOffset=(0.0, 0.0), resetController=True, rotationOffset=0.0, speed=0.0, type='Subscenario', velocity=(0.0, 0.0), webotsName='SUBSCENARIO', webotsObject=None, webotsType=None, width=1.0), object2=StructPoint(angularSpeed=0.0, controller=None, elevation=None, heading=0.0, lastActions=None, length=1.0, position=(-98.56974263555041, -32.09690812862025), positionOffset=(0.0, 0.0), resetController=True, rotationOffset=0.0, speed=0.0, type='OilBarrel1', velocity=(0.0, 0.0), webotsName='OIL_BARREL_1', webotsObject=None, webotsType=None, width=1.0), object3=StructPoint(angularSpeed=0.0, controller=None, elevation=None, heading=0.0, lastActions=None, length=1.0, position=(-104.47641331559397, -59.266263741172295), positionOffset=(0.0, 0.0), resetController=True, rotationOffset=0.0, speed=0.0, type='OilBarrel2', velocity=(0.0, 0.0), webotsName='OIL_BARREL_2', webotsObject=None, webotsType=None, width=1.0), object4=StructPoint(angularSpeed=0.0, controller=None, elevation=None, heading=0.0, lastActions=None, length=1.0, position=(-103.20195169049995, -65.80933621233187), positionOffset=(0.0, 0.0), resetController=True, rotationOffset=0.0, speed=0.0, type='OilBarrel3', velocity=(0.0, 0.0), webotsName='OIL_BARREL_3', webotsObject=None, webotsType=None, width=1.0), object5=StructPoint(angularSpeed=0.0, controller=None, elevation=None, heading=-1.5492700673193853, lastActions=None, length=1.0, position=(-104.50227808957914, -5.441860917310883), positionOffset=(0.0, 0.0), resetController=True, rotationOffset=0.0, speed=0.0, type='Lead', velocity=(0.0, 0.0), webotsName='LEAD', webotsObject=None, webotsType=None, width=1.0)), params=StructPoint())
