sample_ind,rho,sim_steps
369,4.041673200134225,1122
370,4.070792288060797,1122
371,3.2986599672383843,1123
372,4.450102772801545,1124
373,3.3441816521076007,1123
374,2.2147425670050946,1123
375,4.337133381558315,1123
376,4.69061901419108,1123
377,2.9157344880843885,1123
378,2.252125043603094,1122
379,4.5651271172195464,1124
380,3.302349654425848,1123
381,3.1069818289805617,1122
382,4.075328273341897,1123
383,3.766002680362506,1122
384,4.557197627466866,1123
385,3.3042974823726983,1123
386,4.577762638439246,1123
387,3.2374818145903514,1122
388,3.2976258066985,1123
389,4.062155661654865,1123
390,4.154938523677654,1123
391,4.046756639438527,1125
392,3.7079783276878704,1123
393,4.145832353373752,1123
