sample_ind,sample
369,SpacePoint(objects=StructPoint(object0=StructPoint(angularSpeed=0.0, controller=None, elevation=None, heading=-0.21979878404378725, lastActions=None, length=1.0, position=(-66.4664326195233, -104.47833455201726), positionOffset=(0.0, 0.0), resetController=True, rotationOffset=0.0, speed=0.0, type='Follower', velocity=(0.0, 0.0), webotsName='FOLLOWER', webotsObject=None, webotsType=None, width=1.0), object1=StructPoint(angularSpeed=0.0, controller=None, elevation=None, heading=0.0, ind='1', lastActions=None, length=1.0, mode='smc', position=(0, 0), positionOffset=(0.0, 0.0), resetController=True, rotationOffset=0.0, speed=0.0, type='Subscenario', velocity=(0.0, 0.0), webotsName='SUBSCENARIO', webotsObject=None, webotsType=None, width=1.0), object2=StructPoint(angularSpeed=0.0, controller=None, elevation=None, heading=-0.022970100604601706, lastActions=None, length=1.0, position=(-57.45042066880266, -105.48255722313115), positionOffset=(0.0, 0.0), resetController=True, rotationOffset=0.0, speed=0.0, type='Lead', velocity=(0.0, 0.0), webotsName='LEAD', webotsObject=None, webotsType=None, width=1.0)), params=StructPoint())
370,SpacePoint(objects=StructPoint(object0=StructPoint(angularSpeed=0.0, controller=None, elevation=None, heading=-0.17620738741518996, lastActions=None, length=1.0, position=(-66.87743545889819, -104.54076796093366), positionOffset=(0.0, 0.0), resetController=True, rotationOffset=0.0, speed=0.0, type='Follower', velocity=(0.0, 0.0), webotsName='FOLLOWER', webotsObject=None, webotsType=None, width=1.0), object1=StructPoint(angularSpeed=0.0, controller=None, elevation=None, heading=0.0, ind='1', lastActions=None, length=1.0, mode='smc', position=(0, 0), positionOffset=(0.0, 0.0), resetController=True, rotationOffset=0.0, speed=0.0, type='Subscenario', velocity=(0.0, 0.0), webotsName='SUBSCENARIO', webotsObject=None, webotsType=None, width=1.0), object2=StructPoint(angularSpeed=0.0, controller=None, elevation=None, heading=-0.04710705236082017, lastActions=None, length=1.0, position=(-56.420845466547334, -104.90417828345365), positionOffset=(0.0, 0.0), resetController=True, rotationOffset=0.0, speed=0.0, type='Lead', velocity=(0.0, 0.0), webotsName='LEAD', webotsObject=None, webotsType=None, width=1.0)), params=StructPoint())
371,SpacePoint(objects=StructPoint(object0=StructPoint(angularSpeed=0.0, controller=None, elevation=None, heading=-0.2040367340069396, lastActions=None, length=1.0, position=(-66.48886004656015, -104.95169457466969), positionOffset=(0.0, 0.0), resetController=True, rotationOffset=0.0, speed=0.0, type='Follower', velocity=(0.0, 0.0), webotsName='FOLLOWER', webotsObject=None, webotsType=None, width=1.0), object1=StructPoint(angularSpeed=0.0, controller=None, elevation=None, heading=0.0, ind='1', lastActions=None, length=1.0, mode='smc', position=(0, 0), positionOffset=(0.0, 0.0), resetController=True, rotationOffset=0.0, speed=0.0, type='Subscenario', velocity=(0.0, 0.0), webotsName='SUBSCENARIO', webotsObject=None, webotsType=None, width=1.0), object2=StructPoint(angularSpeed=0.0, controller=None, elevation=None, heading=-0.023886942383983575, lastActions=None, length=1.0, position=(-58.20260170857064, -105.52858761091201), positionOffset=(0.0, 0.0), resetController=True, rotationOffset=0.0, speed=0.0, type='Lead', velocity=(0.0, 0.0), webotsName='LEAD', webotsObject=None, webotsType=None, width=1.0)), params=StructPoint())
372,SpacePoint(objects=StructPoint(object0=StructPoint(angularSpeed=0.0, controller=None, elevation=None, heading=-0.17514018028615805, lastActions=None, length=1.0, position=(-66.41940002864428, -104.44259874512906), positionOffset=(0.0, 0.0), resetController=True, rotationOffset=0.0, speed=0.0, type='Follower', velocity=(0.0, 0.0), webotsName='FOLLOWER', webotsObject=None, webotsType=None, width=1.0), object1=StructPoint(angularSpeed=0.0, controller=None, elevation=None, heading=0.0, ind='1', lastActions=None, length=1.0, mode='smc', position=(0, 0), positionOffset=(0.0, 0.0), resetController=True, rotationOffset=0.0, speed=0.0, type='Subscenario', velocity=(0.0, 0.0), webotsName='SUBSCENARIO', webotsObject=None, webotsType=None, width=1.0), object2=StructPoint(angularSpeed=0.0, controller=None, elevation=None, heading=-0.017185549889568597, lastActions=None, length=1.0, position=(-56.997538956411326, -105.47629729541855), positionOffset=(0.0, 0.0), resetController=True, rotationOffset=0.0, speed=0.0, type='Lead', velocity=(0.0, 0.0), webotsName='LEAD', webotsObject=None, webotsType=None, width=1.0)), params=StructPoint())
373,SpacePoint(objects=StructPoint(object0=StructPoint(angularSpeed=0.0, controller=None, elevation=None, heading=-0.20960805294930643, lastActions=None, length=1.0, position=(-66.45336936027061, -104.86996265725843), positionOffset=(0.0, 0.0), resetController=True, rotationOffset=0.0, speed=0.0, type='Follower', velocity=(0.0, 0.0), webotsName='FOLLOWER', webotsObject=None, webotsType=None, width=1.0), object1=StructPoint(angularSpeed=0.0, controller=None, elevation=None, heading=0.0, ind='1', lastActions=None, length=1.0, mode='smc', position=(0, 0), positionOffset=(0.0, 0.0), resetController=True, rotationOffset=0.0, speed=0.0, type='Subscenario', velocity=(0.0, 0.0), webotsName='SUBSCENARIO', webotsObject=None, webotsType=None, width=1.0), object2=StructPoint(angularSpeed=0.0, controller=None, elevation=None, heading=-0.014188789651689432, lastActions=None, length=1.0, position=(-58.12455366292221, -105.5785496895359), positionOffset=(0.0, 0.0), resetController=True, rotationOffset=0.0, speed=0.0, type='Lead', velocity=(0.0, 0.0), webotsName='LEAD', webotsObject=None, webotsType=None, width=1.0)), params=StructPoint())
374,SpacePoint(objects=StructPoint(object0=StructPoint(angularSpeed=0.0, controller=None, elevation=None, heading=-0.16464448669191423, lastActions=None, length=1.0, position=(-69.00358814009218, -103.49112072121616), positionOffset=(0.0, 0.0), resetController=True, rotationOffset=0.0, speed=0.0, type='Follower', velocity=(0.0, 0.0), webotsName='FOLLOWER', webotsObject=None, webotsType=None, width=1.0), object1=StructPoint(angularSpeed=0.0, controller=None, elevation=None, heading=0.0, ind='1', lastActions=None, length=1.0, mode='smc', position=(0, 0), positionOffset=(0.0, 0.0), resetController=True, rotationOffset=0.0, speed=0.0, type='Subscenario', velocity=(0.0, 0.0), webotsName='SUBSCENARIO', webotsObject=None, webotsType=None, width=1.0), object2=StructPoint(angularSpeed=0.0, controller=None, elevation=None, heading=-0.029277788963742602, lastActions=None, length=1.0, position=(-56.489339777020156, -105.2946850473772), positionOffset=(0.0, 0.0), resetController=True, rotationOffset=0.0, speed=0.0, type='Lead', velocity=(0.0, 0.0), webotsName='LEAD', webotsObject=None, webotsType=None, width=1.0)), params=StructPoint())
375,SpacePoint(objects=StructPoint(object0=StructPoint(angularSpeed=0.0, controller=None, elevation=None, heading=-0.22806326054636436, lastActions=None, length=1.0, position=(-66.52793608518144, -104.99560258147291), positionOffset=(0.0, 0.0), resetController=True, rotationOffset=0.0, speed=0.0, type='Follower', velocity=(0.0, 0.0), webotsName='FOLLOWER', webotsObject=None, webotsType=None, width=1.0), object1=StructPoint(angularSpeed=0.0, controller=None, elevation=None, heading=0.0, ind='1', lastActions=None, length=1.0, mode='smc', position=(0, 0), positionOffset=(0.0, 0.0), resetController=True, rotationOffset=0.0, speed=0.0, type='Subscenario', velocity=(0.0, 0.0), webotsName='SUBSCENARIO', webotsObject=None, webotsType=None, width=1.0), object2=StructPoint(angularSpeed=0.0, controller=None, elevation=None, heading=0.021510472538429033, lastActions=None, length=1.0, position=(-56.44765834014783, -105.63186124335265), positionOffset=(0.0, 0.0), resetController=True, rotationOffset=0.0, speed=0.0, type='Lead', velocity=(0.0, 0.0), webotsName='LEAD', webotsObject=None, webotsType=None, width=1.0)), params=StructPoint())
376,SpacePoint(objects=StructPoint(object0=StructPoint(angularSpeed=0.0, controller=None, elevation=None, heading=-0.2170025572705499, lastActions=None, length=1.0, position=(-66.438555822258, -104.51917229876615), positionOffset=(0.0, 0.0), resetController=True, rotationOffset=0.0, speed=0.0, type='Follower', velocity=(0.0, 0.0), webotsName='FOLLOWER', webotsObject=None, webotsType=None, width=1.0), object1=StructPoint(angularSpeed=0.0, controller=None, elevation=None, heading=0.0, ind='1', lastActions=None, length=1.0, mode='smc', position=(0, 0), positionOffset=(0.0, 0.0), resetController=True, rotationOffset=0.0, speed=0.0, type='Subscenario', velocity=(0.0, 0.0), webotsName='SUBSCENARIO', webotsObject=None, webotsType=None, width=1.0), object2=StructPoint(angularSpeed=0.0, controller=None, elevation=None, heading=-0.000694258439930212, lastActions=None, length=1.0, position=(-56.78117456021911, -105.56901297875812), positionOffset=(0.0, 0.0), resetController=True, rotationOffset=0.0, speed=0.0, type='Lead', velocity=(0.0, 0.0), webotsName='LEAD', webotsObject=None, webotsType=None, width=1.0)), params=StructPoint())
377,SpacePoint(objects=StructPoint(object0=StructPoint(angularSpeed=0.0, controller=None, elevation=None, heading=-0.1994698245985526, lastActions=None, length=1.0, position=(-66.49045873960358, -104.88136527521327), positionOffset=(0.0, 0.0), resetController=True, rotationOffset=0.0, speed=0.0, type='Follower', velocity=(0.0, 0.0), webotsName='FOLLOWER', webotsObject=None, webotsType=None, width=1.0), object1=StructPoint(angularSpeed=0.0, controller=None, elevation=None, heading=0.0, ind='1', lastActions=None, length=1.0, mode='smc', position=(0, 0), positionOffset=(0.0, 0.0), resetController=True, rotationOffset=0.0, speed=0.0, type='Subscenario', velocity=(0.0, 0.0), webotsName='SUBSCENARIO', webotsObject=None, webotsType=None, width=1.0), object2=StructPoint(angularSpeed=0.0, controller=None, elevation=None, heading=-0.030814402224559338, lastActions=None, length=1.0, position=(-58.589524121539476, -105.49622649769155), positionOffset=(0.0, 0.0), resetController=True, rotationOffset=0.0, speed=0.0, type='Lead', velocity=(0.0, 0.0), webotsName='LEAD', webotsObject=None, webotsType=None, width=1.0)), params=StructPoint())
378,SpacePoint(objects=StructPoint(object0=StructPoint(angularSpeed=0.0, controller=None, elevation=None, heading=-0.18369224336856102, lastActions=None, length=1.0, position=(-68.83713409001984, -104.24926198153507), positionOffset=(0.0, 0.0), resetController=True, rotationOffset=0.0, speed=0.0, type='Follower', velocity=(0.0, 0.0), webotsName='FOLLOWER', webotsObject=None, webotsType=None, width=1.0), object1=StructPoint(angularSpeed=0.0, controller=None, elevation=None, heading=0.0, ind='1', lastActions=None, length=1.0, mode='smc', position=(0, 0), positionOffset=(0.0, 0.0), resetController=True, rotationOffset=0.0, speed=0.0, type='Subscenario', velocity=(0.0, 0.0), webotsName='SUBSCENARIO', webotsObject=None, webotsType=None, width=1.0), object2=StructPoint(angularSpeed=0.0, controller=None, elevation=None, heading=-0.005281350167524113, lastActions=None, length=1.0, position=(-56.42713024115595, -105.52223040380873), positionOffset=(0.0, 0.0), resetController=True, rotationOffset=0.0, speed=0.0, type='Lead', velocity=(0.0, 0.0), webotsName='LEAD', webotsObject=None, webotsType=None, width=1.0)), params=StructPoint())
379,SpacePoint(objects=StructPoint(object0=StructPoint(angularSpeed=0.0, controller=None, elevation=None, heading=-0.16012761251902835, lastActions=None, length=1.0, position=(-66.45352745377812, -104.12501166121103), positionOffset=(0.0, 0.0), resetController=True, rotationOffset=0.0, speed=0.0, type='Follower', velocity=(0.0, 0.0), webotsName='FOLLOWER', webotsObject=None, webotsType=None, width=1.0), object1=StructPoint(angularSpeed=0.0, controller=None, elevation=None, heading=0.0, ind='1', lastActions=None, length=1.0, mode='smc', position=(0, 0), positionOffset=(0.0, 0.0), resetController=True, rotationOffset=0.0, speed=0.0, type='Subscenario', velocity=(0.0, 0.0), webotsName='SUBSCENARIO', webotsObject=None, webotsType=None, width=1.0), object2=StructPoint(angularSpeed=0.0, controller=None, elevation=None, heading=-0.051821943391836704, lastActions=None, length=1.0, position=(-56.91044413886116, -104.95660048696567), positionOffset=(0.0, 0.0), resetController=True, rotationOffset=0.0, speed=0.0, type='Lead', velocity=(0.0, 0.0), webotsName='LEAD', webotsObject=None, webotsType=None, width=1.0)), params=StructPoint())
