sample_ind,rho,sim_steps
420,4.359569933226952,681
421,4.078747543146063,662
422,3.5645375367649343,663
423,3.5405492229387097,674
424,3.5679359024250967,674
425,3.550135942323397,655
426,3.730718117328019,684
427,4.5880288134754,662
428,3.2078031906152393,665
429,-0.04797702377080704,522
430,4.339296320696333,657
431,4.342327750061486,673
432,4.349277919942169,655
433,4.338000268700233,667
434,3.760864211240026,679
435,4.506535727083598,669
436,4.046783670992898,677
437,4.371748594272843,656
438,3.643329534803309,656
439,3.5217951355487376,673
440,3.6039591023117588,677
441,4.049476893843249,680
442,3.734279457831933,681
443,3.734292008202976,682
444,3.6416728348361396,667
445,3.7779498624641352,680
446,4.562405471560384,666
447,4.579791268508586,662
448,3.724500822725675,684
449,4.040322765782136,677
450,4.855542342708318,666
451,3.933892900120819,662
452,3.5114484648823225,676
453,3.320229664524076,682
454,-0.03174735720943467,608
455,3.737533068151052,685
456,3.678871559407014,652
457,2.284524129730224,653
458,3.64695728390722,660
459,3.6207706614801687,682
460,3.99441507204428,654
461,3.873296547444678,661
462,4.669132225303928,670
463,2.209461616570856,677
464,4.041272906459199,677
465,3.5412647193609015,662
466,4.361107879790691,658
467,4.360272535057151,677
468,4.620483681819856,657
469,3.957678036144342,654
470,-0.10308476158317603,432
471,3.5834157247894165,672
472,3.471852089881768,652
473,-0.04884070167709531,587
474,3.698223554116195,684
475,3.697188424488976,684
476,2.206525853773206,667
477,2.321954849129959,663
478,3.7698564568086645,679
479,4.0508676789320965,677
480,4.245866423512691,662
481,2.289189156106021,680
