sample_ind,rho,sim_steps
394,3.568417413578654,702
395,3.7192860883138863,702
396,3.3708823731979116,697
397,4.6957845953176545,704
398,4.694639634289901,704
399,2.913844453078859,697
400,3.5590900543893422,696
401,3.634356612088265,696
402,3.621310692587709,697
403,4.788200838960497,700
404,4.785965950746961,701
405,4.693368541247393,703
406,3.545556492546785,696
407,2.212175370315636,697
408,-0.04566410952905109,552
409,4.382153277497769,704
410,3.368461878081785,696
411,3.523291839539443,703
412,4.000227472804232,697
413,3.4876151869985375,697
414,4.5398585643891565,700
415,-0.03903154893588123,523
416,3.3560428535184137,697
417,4.371143912795729,704
418,-0.011462763662667186,609
419,3.5853482156895726,696
