sample_ind,rho,sim_steps
186,-0.047689942751072856,399
187,3.749452964713056,3211
188,2.7958581879950977,2956
189,-0.04360994694562592,464
190,3.0991406359886042,3190
191,3.7027107120331006,2925
192,-0.07431261334274186,312
193,3.29616869156645,3204
194,1.8029837866398237,3213
195,-0.07850731053831872,388
196,3.6851758734054627,2955
197,4.07381574920451,3206
198,4.637184486670243,2947
199,-0.048832227758471625,2718
200,4.347215939937419,2955
201,-0.011465743208824541,601
202,3.316136851032974,2959
203,-0.08111987743515137,508
204,3.6391912267179336,3184
205,-0.07885130642328342,307
206,3.549273039266607,2968
207,-0.08347351322402652,2872
208,4.535435823362473,2945
209,2.9063805054933853,2964
210,1.7002551486801227,2944
211,3.9694237750799957,2955
212,1.031941763785829,3177
213,2.873503937667712,2940
214,2.5760868428462604,3195
215,3.9166768978070277,2972
216,3.708584293312157,2920
217,2.354854153333486,2960
218,-0.06721580188485365,383
219,3.5159757356318444,2945
220,2.7955509260560794,2927
221,2.256136407093768,2941
222,-0.031575872075904954,1194
223,2.3908881073838852,2908
224,3.425522074770063,2923
225,-0.020841058470965734,431
226,-0.10954027788513976,432
227,-0.12420236276723262,633
228,3.8355527483340772,2943
229,2.215497226649987,2947
230,3.9212120967135053,2933
231,3.9321672995123027,2963
232,2.7349965707251735,3210
233,-0.053707874504876685,294
234,3.4284574260001452,2922
235,2.140511229028606,2948
236,3.3660846777577067,2948
237,3.227032976248987,2960
238,-0.03204574498261614,613
239,3.9102006508035725,2958
240,2.1868679433457654,2911
241,3.196146094559605,2907
242,2.6537017527416076,2915
243,-0.04644622117199493,284
244,3.027177848699175,2937
245,1.5952110827813177,3210
246,-0.07651171679067925,398
247,-0.0203257553648708,2694
248,2.98575213295058,3191
249,-0.09461459130699179,437
250,-0.0187330859853585,589
251,-0.0058685011453665226,472
252,3.5200416907732404,2943
253,3.55168888978508,3181
254,3.590347220415037,2946
255,-0.028672267865731627,348
256,2.127466483016798,2965
257,3.0644089354039874,2933
258,3.0214927090670756,2935
259,2.738715795162241,2957
260,2.3195872949347436,3187
261,3.8661499674515074,3195
262,2.769004808024741,2953
263,-0.07753969314422449,486
264,2.6866276159965947,3206
265,1.6887663615812656,2963
266,3.090139481885231,3203
267,3.9488007704447767,2977
268,3.4317572505729395,2957
269,3.04370068458452,2943
270,3.1683843501094184,3210
271,2.4629453167374926,3205
272,-0.019665693116680316,326
273,3.5221737983028927,3206
274,-0.0021852922675282827,2847
275,3.473274958824179,3215
276,-0.08685492521826887,2683
277,-0.008139683068016268,294
278,1.8460962750761425,2916
279,-0.02715132796232389,476
280,-0.06770410166944352,637
281,3.318168471822702,2930
282,-0.03625879817216848,2626
283,3.561501515966082,2917
284,2.9925700104363226,3215
285,3.3120886251924606,3178
