ego_x,ego_y,ego_heading,lead_x,lead_y,lead_heading
-66.42348020052341,-104.40049365244386,-0.18874152440094838,-56.85937655950671,-105.36257590950046,-0.024320780671031328
-66.49769905960086,-104.98570379170579,-0.18283897160861493,-56.50951615404842,-105.51763028013404,-0.008885056815872054
-69.14987615087715,-104.9522885181428,-0.22087122451224483,-56.424393194088786,-105.58920779451465,0.01680523674936343
-67.35384992798718,-105.23973970751626,-0.19445026018443162,-56.430107474807336,-105.55686606379484,0.006601125090011801
-66.40512920727453,-104.62941083272645,-0.1956214395746079,-58.490861334079156,-105.30324511623938,-0.05135595817286597
-67.71024762744389,-103.9409174549779,-0.1851177273341687,-56.41332137465071,-105.39873208567242,-0.020023449802373715
-66.39340315107896,-105.20870417087684,-0.15178832437850096,-58.39884709631713,-105.51028483023796,-0.029167755639089958
-66.46724172382886,-104.98055755257882,-0.17661688823213564,-56.803349923096974,-105.4162190539874,-0.02036276631991795
-68.92180841568045,-103.7039296698108,-0.23947178218508258,-56.46242772991668,-105.51691782410319,-0.0077724884058481
-66.4789796868247,-104.51354227303399,-0.2184672579484107,-57.1555260522128,-105.50593815526281,-0.01648417257818815
-66.44752352477238,-104.60543395369179,-0.2041263029275826,-57.90838559009127,-105.5432188781573,-0.015574100898438734
-66.49493149256978,-104.87383213550154,-0.18484074602048148,-56.502391954152884,-105.43661410563428,-0.01976323684135774
-66.72075075530289,-104.03150500653483,-0.17536968556968044,-56.4146433910363,-104.93055312246246,-0.04904591883955267
-67.83960176140225,-104.63718714374735,-0.22987770487387799,-56.47890461840405,-105.51410104421336,-0.007518717472665455
-68.26910306910457,-105.5308319370159,-0.12219249344233285,-56.419267945352225,-105.19617329411106,0.0699136908099931
-67.6647134408203,-104.57761331263642,-0.1939647429168517,-56.46694700054838,-105.51198298441085,-0.008804676102088696
-66.48446684544494,-103.94287383811023,-0.15449966369198026,-58.24765395904262,-104.89214946271552,-0.0616151822796793
-68.36135723750341,-104.48943852612375,-0.2405759385196202,-56.47135810017466,-105.62137859496823,0.03246968055249704
-68.4724690214175,-103.47525030862666,-0.21669972476938767,-56.49871003714161,-105.50341868560105,-0.010270228785034717
-67.87644633493167,-103.70724251580084,-0.21204655584994392,-56.488011730956515,-105.5007065096197,-0.011248407585473562
-66.45192007476074,-104.88742820030079,-0.182046854771085,-57.181708153565836,-105.48831566396063,-0.020017955885095456
-68.53493843900323,-103.51960726178032,-0.20010421127572212,-56.47207926870344,-105.47399291855604,-0.01271526934880308
-68.94626361988938,-103.92772393125298,-0.2146718799366416,-56.41070120030703,-105.5688358143802,0.006775676999814781
-66.86066803103401,-104.48352549977771,-0.22622886424264352,-56.45667298666893,-105.52325289314409,-0.00784388018649031
-67.8053795664178,-104.72900932032609,-0.21282542911338945,-56.456785176313694,-105.51451970977223,-0.00860875287186226
-66.47423030362376,-104.50671272554756,-0.14755599515976156,-58.23313013692268,-104.99217582327195,-0.051575070660814265
-67.2696581632433,-104.45260084770979,-0.23121517417526655,-56.48224656336796,-105.51904810301656,-0.007809958581766433
-68.8861211465533,-103.6478501497991,-0.23988020169451285,-56.41390871417258,-105.50575377203269,-0.00983585330264728
-67.74518150612455,-104.9906704475498,-0.0346663806580098,-56.441206628245595,-104.83217002425238,-0.0019834365759283283
