sample_ind,sample
42,SpacePoint(objects=StructPoint(object0=StructPoint(angularSpeed=0.0, controller=None, elevation=None, heading=-1.5218301817627586, lastActions=None, length=1.0, position=(-104.36135558406636, 4.96401318854533), positionOffset=(0.0, 0.0), resetController=True, rotationOffset=0.0, speed=0.0, type='Follower', velocity=(0.0, 0.0), webotsName='FOLLOWER', webotsObject=None, webotsType=None, width=1.0), object1=StructPoint(angularSpeed=0.0, controller=None, elevation=None, heading=0.0, ind='0B', lastActions=None, length=1.0, mode='smc', position=(0, 0), positionOffset=(0.0, 0.0), resetController=True, rotationOffset=0.0, speed=0.0, type='Subscenario', velocity=(0.0, 0.0), webotsName='SUBSCENARIO', webotsObject=None, webotsType=None, width=1.0), object2=StructPoint(angularSpeed=0.0, controller=None, elevation=None, heading=0.0, lastActions=None, length=1.0, position=(-114.24367046141711, -43.337986623137375), positionOffset=(0.0, 0.0), resetController=True, rotationOffset=0.0, speed=0.0, type='OilBarrel1', velocity=(0.0, 0.0), webotsName='OIL_BARREL_1', webotsObject=None, webotsType=None, width=1.0), object3=StructPoint(angularSpeed=0.0, controller=None, elevation=None, heading=0.0, lastActions=None, length=1.0, position=(-97.59145183695095, -46.72987923243474), positionOffset=(0.0, 0.0), resetController=True, rotationOffset=0.0, speed=0.0, type='OilBarrel2', velocity=(0.0, 0.0), webotsName='OIL_BARREL_2', webotsObject=None, webotsType=None, width=1.0), object4=StructPoint(angularSpeed=0.0, controller=None, elevation=None, heading=0.0, lastActions=None, length=1.0, position=(-105.59120314806046, -72.47686758622145), positionOffset=(0.0, 0.0), resetController=True, rotationOffset=0.0, speed=0.0, type='OilBarrel3', velocity=(0.0, 0.0), webotsName='OIL_BARREL_3', webotsObject=None, webotsType=None, width=1.0), object5=StructPoint(angularSpeed=0.0, controller=None, elevation=None, heading=-1.5580514570179889, lastActions=None, length=1.0, position=(-104.28400301322537, -4.542700204778319), positionOffset=(0.0, 0.0), resetController=True, rotationOffset=0.0, speed=0.0, type='Lead', velocity=(0.0, 0.0), webotsName='LEAD', webotsObject=None, webotsType=None, width=1.0)), params=StructPoint())
43,SpacePoint(objects=StructPoint(object0=StructPoint(angularSpeed=0.0, controller=None, elevation=None, heading=-1.6149216027670938, lastActions=None, length=1.0, position=(-105.79009192184414, 2.739716631809624), positionOffset=(0.0, 0.0), resetController=True, rotationOffset=0.0, speed=0.0, type='Follower', velocity=(0.0, -0.0), webotsName='FOLLOWER', webotsObject=None, webotsType=None, width=1.0), object1=StructPoint(angularSpeed=0.0, controller=None, elevation=None, heading=0.0, ind='0B', lastActions=None, length=1.0, mode='smc', position=(0, 0), positionOffset=(0.0, 0.0), resetController=True, rotationOffset=0.0, speed=0.0, type='Subscenario', velocity=(0.0, 0.0), webotsName='SUBSCENARIO', webotsObject=None, webotsType=None, width=1.0), object2=StructPoint(angularSpeed=0.0, controller=None, elevation=None, heading=0.0, lastActions=None, length=1.0, position=(-111.14788792306058, -30.858020210561982), positionOffset=(0.0, 0.0), resetController=True, rotationOffset=0.0, speed=0.0, type='OilBarrel1', velocity=(0.0, 0.0), webotsName='OIL_BARREL_1', webotsObject=None, webotsType=None, width=1.0), object3=StructPoint(angularSpeed=0.0, controller=None, elevation=None, heading=0.0, lastActions=None, length=1.0, position=(-111.80971619902105, -47.715866029127895), positionOffset=(0.0, 0.0), resetController=True, rotationOffset=0.0, speed=0.0, type='OilBarrel2', velocity=(0.0, 0.0), webotsName='OIL_BARREL_2', webotsObject=None, webotsType=None, width=1.0), object4=StructPoint(angularSpeed=0.0, controller=None, elevation=None, heading=0.0, lastActions=None, length=1.0, position=(-101.30530386341306, -71.44244808249555), positionOffset=(0.0, 0.0), resetController=True, rotationOffset=0.0, speed=0.0, type='OilBarrel3', velocity=(0.0, 0.0), webotsName='OIL_BARREL_3', webotsObject=None, webotsType=None, width=1.0), object5=StructPoint(angularSpeed=0.0, controller=None, elevation=None, heading=-1.4995585907395725, lastActions=None, length=1.0, position=(-105.06389230613216, -6.705282218805524), positionOffset=(0.0, 0.0), resetController=True, rotationOffset=0.0, speed=0.0, type='Lead', velocity=(0.0, 0.0), webotsName='LEAD', webotsObject=None, webotsType=None, width=1.0)), params=StructPoint())
44,SpacePoint(objects=StructPoint(object0=StructPoint(angularSpeed=0.0, controller=None, elevation=None, heading=-1.596891394590194, lastActions=None, length=1.0, position=(-104.03897925887566, 6.24249068623897), positionOffset=(0.0, 0.0), resetController=True, rotationOffset=0.0, speed=0.0, type='Follower', velocity=(0.0, -0.0), webotsName='FOLLOWER', webotsObject=None, webotsType=None, width=1.0), object1=StructPoint(angularSpeed=0.0, controller=None, elevation=None, heading=0.0, ind='0B', lastActions=None, length=1.0, mode='smc', position=(0, 0), positionOffset=(0.0, 0.0), resetController=True, rotationOffset=0.0, speed=0.0, type='Subscenario', velocity=(0.0, 0.0), webotsName='SUBSCENARIO', webotsObject=None, webotsType=None, width=1.0), object2=StructPoint(angularSpeed=0.0, controller=None, elevation=None, heading=0.0, lastActions=None, length=1.0, position=(-103.88628882269653, -44.017508961286644), positionOffset=(0.0, 0.0), resetController=True, rotationOffset=0.0, speed=0.0, type='OilBarrel1', velocity=(0.0, 0.0), webotsName='OIL_BARREL_1', webotsObject=None, webotsType=None, width=1.0), object3=StructPoint(angularSpeed=0.0, controller=None, elevation=None, heading=0.0, lastActions=None, length=1.0, position=(-105.01827345264215, -51.345606992575966), positionOffset=(0.0, 0.0), resetController=True, rotationOffset=0.0, speed=0.0, type='OilBarrel2', velocity=(0.0, 0.0), webotsName='OIL_BARREL_2', webotsObject=None, webotsType=None, width=1.0), object4=StructPoint(angularSpeed=0.0, controller=None, elevation=None, heading=0.0, lastActions=None, length=1.0, position=(-101.67238944425183, -73.03520646987147), positionOffset=(0.0, 0.0), resetController=True, rotationOffset=0.0, speed=0.0, type='OilBarrel3', velocity=(0.0, 0.0), webotsName='OIL_BARREL_3', webotsObject=None, webotsType=None, width=1.0), object5=StructPoint(angularSpeed=0.0, controller=None, elevation=None, heading=-1.6438664208770417, lastActions=None, length=1.0, position=(-105.142938061891, -6.981098480711154), positionOffset=(0.0, 0.0), resetController=True, rotationOffset=0.0, speed=0.0, type='Lead', velocity=(0.0, -0.0), webotsName='LEAD', webotsObject=None, webotsType=None, width=1.0)), params=StructPoint())
45,SpacePoint(objects=StructPoint(object0=StructPoint(angularSpeed=0.0, controller=None, elevation=None, heading=-1.6489848964079914, lastActions=None, length=1.0, position=(-104.76230990033177, 5.868357700900822), positionOffset=(0.0, 0.0), resetController=True, rotationOffset=0.0, speed=0.0, type='Follower', velocity=(0.0, -0.0), webotsName='FOLLOWER', webotsObject=None, webotsType=None, width=1.0), object1=StructPoint(angularSpeed=0.0, controller=None, elevation=None, heading=0.0, ind='0B', lastActions=None, length=1.0, mode='smc', position=(0, 0), positionOffset=(0.0, 0.0), resetController=True, rotationOffset=0.0, speed=0.0, type='Subscenario', velocity=(0.0, 0.0), webotsName='SUBSCENARIO', webotsObject=None, webotsType=None, width=1.0), object2=StructPoint(angularSpeed=0.0, controller=None, elevation=None, heading=0.0, lastActions=None, length=1.0, position=(-96.3966929608489, -32.21235231462376), positionOffset=(0.0, 0.0), resetController=True, rotationOffset=0.0, speed=0.0, type='OilBarrel1', velocity=(0.0, 0.0), webotsName='OIL_BARREL_1', webotsObject=None, webotsType=None, width=1.0), object3=StructPoint(angularSpeed=0.0, controller=None, elevation=None, heading=0.0, lastActions=None, length=1.0, position=(-113.45831114229007, -46.73817212709808), positionOffset=(0.0, 0.0), resetController=True, rotationOffset=0.0, speed=0.0, type='OilBarrel2', velocity=(0.0, 0.0), webotsName='OIL_BARREL_2', webotsObject=None, webotsType=None, width=1.0), object4=StructPoint(angularSpeed=0.0, controller=None, elevation=None, heading=0.0, lastActions=None, length=1.0, position=(-105.55313994195326, -67.88197433280287), positionOffset=(0.0, 0.0), resetController=True, rotationOffset=0.0, speed=0.0, type='OilBarrel3', velocity=(0.0, 0.0), webotsName='OIL_BARREL_3', webotsObject=None, webotsType=None, width=1.0), object5=StructPoint(angularSpeed=0.0, controller=None, elevation=None, heading=-1.5273916536873158, lastActions=None, length=1.0, position=(-105.01475432979774, -4.497856466122735), positionOffset=(0.0, 0.0), resetController=True, rotationOffset=0.0, speed=0.0, type='Lead', velocity=(0.0, 0.0), webotsName='LEAD', webotsObject=None, webotsType=None, width=1.0)), params=StructPoint())
46,SpacePoint(objects=StructPoint(object0=StructPoint(angularSpeed=0.0, controller=None, elevation=None, heading=-1.6068423082943601, lastActions=None, length=1.0, position=(-104.61266512463385, 2.9759187784625083), positionOffset=(0.0, 0.0), resetController=True, rotationOffset=0.0, speed=0.0, type='Follower', velocity=(0.0, -0.0), webotsName='FOLLOWER', webotsObject=None, webotsType=None, width=1.0), object1=StructPoint(angularSpeed=0.0, controller=None, elevation=None, heading=0.0, ind='0B', lastActions=None, length=1.0, mode='smc', position=(0, 0), positionOffset=(0.0, 0.0), resetController=True, rotationOffset=0.0, speed=0.0, type='Subscenario', velocity=(0.0, 0.0), webotsName='SUBSCENARIO', webotsObject=None, webotsType=None, width=1.0), object2=StructPoint(angularSpeed=0.0, controller=None, elevation=None, heading=0.0, lastActions=None, length=1.0, position=(-111.37437533816288, -43.35433311752994), positionOffset=(0.0, 0.0), resetController=True, rotationOffset=0.0, speed=0.0, type='OilBarrel1', velocity=(0.0, 0.0), webotsName='OIL_BARREL_1', webotsObject=None, webotsType=None, width=1.0), object3=StructPoint(angularSpeed=0.0, controller=None, elevation=None, heading=0.0, lastActions=None, length=1.0, position=(-103.71345225597966, -57.66850620396208), positionOffset=(0.0, 0.0), resetController=True, rotationOffset=0.0, speed=0.0, type='OilBarrel2', velocity=(0.0, 0.0), webotsName='OIL_BARREL_2', webotsObject=None, webotsType=None, width=1.0), object4=StructPoint(angularSpeed=0.0, controller=None, elevation=None, heading=0.0, lastActions=None, length=1.0, position=(-109.25142238608142, -62.75927846542079), positionOffset=(0.0, 0.0), resetController=True, rotationOffset=0.0, speed=0.0, type='OilBarrel3', velocity=(0.0, 0.0), webotsName='OIL_BARREL_3', webotsObject=None, webotsType=None, width=1.0), object5=StructPoint(angularSpeed=0.0, controller=None, elevation=None, heading=-1.5643334026256552, lastActions=None, length=1.0, position=(-104.01856905339666, -4.007706725220258), positionOffset=(0.0, 0.0), resetController=True, rotationOffset=0.0, speed=0.0, type='Lead', velocity=(0.0, 0.0), webotsName='LEAD', webotsObject=None, webotsType=None, width=1.0)), params=StructPoint())
47,SpacePoint(objects=StructPoint(object0=StructPoint(angularSpeed=0.0, controller=None, elevation=None, heading=-1.6368009133057262, lastActions=None, length=1.0, position=(-104.68257785840943, 5.564571329542705), positionOffset=(0.0, 0.0), resetController=True, rotationOffset=0.0, speed=0.0, type='Follower', velocity=(0.0, -0.0), webotsName='FOLLOWER', webotsObject=None, webotsType=None, width=1.0), object1=StructPoint(angularSpeed=0.0, controller=None, elevation=None, heading=0.0, ind='0B', lastActions=None, length=1.0, mode='smc', position=(0, 0), positionOffset=(0.0, 0.0), resetController=True, rotationOffset=0.0, speed=0.0, type='Subscenario', velocity=(0.0, 0.0), webotsName='SUBSCENARIO', webotsObject=None, webotsType=None, width=1.0), object2=StructPoint(angularSpeed=0.0, controller=None, elevation=None, heading=0.0, lastActions=None, length=1.0, position=(-106.74065919999616, -33.289477898906085), positionOffset=(0.0, 0.0), resetController=True, rotationOffset=0.0, speed=0.0, type='OilBarrel1', velocity=(0.0, 0.0), webotsName='OIL_BARREL_1', webotsObject=None, webotsType=None, width=1.0), object3=StructPoint(angularSpeed=0.0, controller=None, elevation=None, heading=0.0, lastActions=None, length=1.0, position=(-102.9003829079543, -54.433094098629994), positionOffset=(0.0, 0.0), resetController=True, rotationOffset=0.0, speed=0.0, type='OilBarrel2', velocity=(0.0, 0.0), webotsName='OIL_BARREL_2', webotsObject=None, webotsType=None, width=1.0), object4=StructPoint(angularSpeed=0.0, controller=None, elevation=None, heading=0.0, lastActions=None, length=1.0, position=(-97.90515033716389, -63.81710056545773), positionOffset=(0.0, 0.0), resetController=True, rotationOffset=0.0, speed=0.0, type='OilBarrel3', velocity=(0.0, 0.0), webotsName='OIL_BARREL_3', webotsObject=None, webotsType=None, width=1.0), object5=StructPoint(angularSpeed=0.0, controller=None, elevation=None, heading=-1.6214441236491262, lastActions=None, length=1.0, position=(-104.37025402479988, -5.936457714254589), positionOffset=(0.0, 0.0), resetController=True, rotationOffset=0.0, speed=0.0, type='Lead', velocity=(0.0, -0.0), webotsName='LEAD', webotsObject=None, webotsType=None, width=1.0)), params=StructPoint())
48,SpacePoint(objects=StructPoint(object0=StructPoint(angularSpeed=0.0, controller=None, elevation=None, heading=-1.5212571687189844, lastActions=None, length=1.0, position=(-104.3302811711421, 2.6196034867491926), positionOffset=(0.0, 0.0), resetController=True, rotationOffset=0.0, speed=0.0, type='Follower', velocity=(0.0, 0.0), webotsName='FOLLOWER', webotsObject=None, webotsType=None, width=1.0), object1=StructPoint(angularSpeed=0.0, controller=None, elevation=None, heading=0.0, ind='0B', lastActions=None, length=1.0, mode='smc', position=(0, 0), positionOffset=(0.0, 0.0), resetController=True, rotationOffset=0.0, speed=0.0, type='Subscenario', velocity=(0.0, 0.0), webotsName='SUBSCENARIO', webotsObject=None, webotsType=None, width=1.0), object2=StructPoint(angularSpeed=0.0, controller=None, elevation=None, heading=0.0, lastActions=None, length=1.0, position=(-108.91786550314306, -33.529144817578484), positionOffset=(0.0, 0.0), resetController=True, rotationOffset=0.0, speed=0.0, type='OilBarrel1', velocity=(0.0, 0.0), webotsName='OIL_BARREL_1', webotsObject=None, webotsType=None, width=1.0), object3=StructPoint(angularSpeed=0.0, controller=None, elevation=None, heading=0.0, lastActions=None, length=1.0, position=(-101.7848595347923, -48.24678183125399), positionOffset=(0.0, 0.0), resetController=True, rotationOffset=0.0, speed=0.0, type='OilBarrel2', velocity=(0.0, 0.0), webotsName='OIL_BARREL_2', webotsObject=None, webotsType=None, width=1.0), object4=StructPoint(angularSpeed=0.0, controller=None, elevation=None, heading=0.0, lastActions=None, length=1.0, position=(-98.95504824991987, -71.557768778712), positionOffset=(0.0, 0.0), resetController=True, rotationOffset=0.0, speed=0.0, type='OilBarrel3', velocity=(0.0, 0.0), webotsName='OIL_BARREL_3', webotsObject=None, webotsType=None, width=1.0), object5=StructPoint(angularSpeed=0.0, controller=None, elevation=None, heading=-1.536513702000895, lastActions=None, length=1.0, position=(-105.21014563174472, -4.000117355048216), positionOffset=(0.0, 0.0), resetController=True, rotationOffset=0.0, speed=0.0, type='Lead', velocity=(0.0, 0.0), webotsName='LEAD', webotsObject=None, webotsType=None, width=1.0)), params=StructPoint())
49,SpacePoint(objects=StructPoint(object0=StructPoint(angularSpeed=0.0, controller=None, elevation=None, heading=-1.51691239368465, lastActions=None, length=1.0, position=(-105.65906219951947, 5.022534987349523), positionOffset=(0.0, 0.0), resetController=True, rotationOffset=0.0, speed=0.0, type='Follower', velocity=(0.0, 0.0), webotsName='FOLLOWER', webotsObject=None, webotsType=None, width=1.0), object1=StructPoint(angularSpeed=0.0, controller=None, elevation=None, heading=0.0, ind='0B', lastActions=None, length=1.0, mode='smc', position=(0, 0), positionOffset=(0.0, 0.0), resetController=True, rotationOffset=0.0, speed=0.0, type='Subscenario', velocity=(0.0, 0.0), webotsName='SUBSCENARIO', webotsObject=None, webotsType=None, width=1.0), object2=StructPoint(angularSpeed=0.0, controller=None, elevation=None, heading=0.0, lastActions=None, length=1.0, position=(-106.34936089630449, -39.20174490946713), positionOffset=(0.0, 0.0), resetController=True, rotationOffset=0.0, speed=0.0, type='OilBarrel1', velocity=(0.0, 0.0), webotsName='OIL_BARREL_1', webotsObject=None, webotsType=None, width=1.0), object3=StructPoint(angularSpeed=0.0, controller=None, elevation=None, heading=0.0, lastActions=None, length=1.0, position=(-102.45230726121527, -55.49840147757813), positionOffset=(0.0, 0.0), resetController=True, rotationOffset=0.0, speed=0.0, type='OilBarrel2', velocity=(0.0, 0.0), webotsName='OIL_BARREL_2', webotsObject=None, webotsType=None, width=1.0), object4=StructPoint(angularSpeed=0.0, controller=None, elevation=None, heading=0.0, lastActions=None, length=1.0, position=(-97.88150126448508, -66.68214998075123), positionOffset=(0.0, 0.0), resetController=True, rotationOffset=0.0, speed=0.0, type='OilBarrel3', velocity=(0.0, 0.0), webotsName='OIL_BARREL_3', webotsObject=None, webotsType=None, width=1.0), object5=StructPoint(angularSpeed=0.0, controller=None, elevation=None, heading=-1.603995708969327, lastActions=None, length=1.0, position=(-105.77173372850851, -4.571818260767917), positionOffset=(0.0, 0.0), resetController=True, rotationOffset=0.0, speed=0.0, type='Lead', velocity=(0.0, -0.0), webotsName='LEAD', webotsObject=None, webotsType=None, width=1.0)), params=StructPoint())
50,SpacePoint(objects=StructPoint(object0=StructPoint(angularSpeed=0.0, controller=None, elevation=None, heading=-1.4871219298859442, lastActions=None, length=1.0, position=(-105.21555730689651, 5.384683226970777), positionOffset=(0.0, 0.0), resetController=True, rotationOffset=0.0, speed=0.0, type='Follower', velocity=(0.0, 0.0), webotsName='FOLLOWER', webotsObject=None, webotsType=None, width=1.0), object1=StructPoint(angularSpeed=0.0, controller=None, elevation=None, heading=0.0, ind='0B', lastActions=None, length=1.0, mode='smc', position=(0, 0), positionOffset=(0.0, 0.0), resetController=True, rotationOffset=0.0, speed=0.0, type='Subscenario', velocity=(0.0, 0.0), webotsName='SUBSCENARIO', webotsObject=None, webotsType=None, width=1.0), object2=StructPoint(angularSpeed=0.0, controller=None, elevation=None, heading=0.0, lastActions=None, length=1.0, position=(-100.96383096188006, -39.75862838471758), positionOffset=(0.0, 0.0), resetController=True, rotationOffset=0.0, speed=0.0, type='OilBarrel1', velocity=(0.0, 0.0), webotsName='OIL_BARREL_1', webotsObject=None, webotsType=None, width=1.0), object3=StructPoint(angularSpeed=0.0, controller=None, elevation=None, heading=0.0, lastActions=None, length=1.0, position=(-110.75210253434996, -52.961715116255924), positionOffset=(0.0, 0.0), resetController=True, rotationOffset=0.0, speed=0.0, type='OilBarrel2', velocity=(0.0, 0.0), webotsName='OIL_BARREL_2', webotsObject=None, webotsType=None, width=1.0), object4=StructPoint(angularSpeed=0.0, controller=None, elevation=None, heading=0.0, lastActions=None, length=1.0, position=(-111.31583470077972, -70.65662255527135), positionOffset=(0.0, 0.0), resetController=True, rotationOffset=0.0, speed=0.0, type='OilBarrel3', velocity=(0.0, 0.0), webotsName='OIL_BARREL_3', webotsObject=None, webotsType=None, width=1.0), object5=StructPoint(angularSpeed=0.0, controller=None, elevation=None, heading=-1.5183088994239327, lastActions=None, length=1.0, position=(-105.71791452896963, -7.048167970070828), positionOffset=(0.0, 0.0), resetController=True, rotationOffset=0.0, speed=0.0, type='Lead', velocity=(0.0, 0.0), webotsName='LEAD', webotsObject=None, webotsType=None, width=1.0)), params=StructPoint())
51,SpacePoint(objects=StructPoint(object0=StructPoint(angularSpeed=0.0, controller=None, elevation=None, heading=-1.4979723417930249, lastActions=None, length=1.0, position=(-104.70961941481987, 4.272910734953393), positionOffset=(0.0, 0.0), resetController=True, rotationOffset=0.0, speed=0.0, type='Follower', velocity=(0.0, 0.0), webotsName='FOLLOWER', webotsObject=None, webotsType=None, width=1.0), object1=StructPoint(angularSpeed=0.0, controller=None, elevation=None, heading=0.0, ind='0B', lastActions=None, length=1.0, mode='smc', position=(0, 0), positionOffset=(0.0, 0.0), resetController=True, rotationOffset=0.0, speed=0.0, type='Subscenario', velocity=(0.0, 0.0), webotsName='SUBSCENARIO', webotsObject=None, webotsType=None, width=1.0), object2=StructPoint(angularSpeed=0.0, controller=None, elevation=None, heading=0.0, lastActions=None, length=1.0, position=(-97.13334769542911, -41.190532914476364), positionOffset=(0.0, 0.0), resetController=True, rotationOffset=0.0, speed=0.0, type='OilBarrel1', velocity=(0.0, 0.0), webotsName='OIL_BARREL_1', webotsObject=None, webotsType=None, width=1.0), object3=StructPoint(angularSpeed=0.0, controller=None, elevation=None, heading=0.0, lastActions=None, length=1.0, position=(-114.36933139677306, -56.62735645216753), positionOffset=(0.0, 0.0), resetController=True, rotationOffset=0.0, speed=0.0, type='OilBarrel2', velocity=(0.0, 0.0), webotsName='OIL_BARREL_2', webotsObject=None, webotsType=None, width=1.0), object4=StructPoint(angularSpeed=0.0, controller=None, elevation=None, heading=0.0, lastActions=None, length=1.0, position=(-113.90459351506651, -71.17544421147676), positionOffset=(0.0, 0.0), resetController=True, rotationOffset=0.0, speed=0.0, type='OilBarrel3', velocity=(0.0, 0.0), webotsName='OIL_BARREL_3', webotsObject=None, webotsType=None, width=1.0), object5=StructPoint(angularSpeed=0.0, controller=None, elevation=None, heading=-1.595432431328665, lastActions=None, length=1.0, position=(-105.19074328959637, -4.988301629271405), positionOffset=(0.0, 0.0), resetController=True, rotationOffset=0.0, speed=0.0, type='Lead', velocity=(0.0, -0.0), webotsName='LEAD', webotsObject=None, webotsType=None, width=1.0)), params=StructPoint())
52,SpacePoint(objects=StructPoint(object0=StructPoint(angularSpeed=0.0, controller=None, elevation=None, heading=-1.530870793120337, lastActions=None, length=1.0, position=(-104.53820783983264, 3.429370271817707), positionOffset=(0.0, 0.0), resetController=True, rotationOffset=0.0, speed=0.0, type='Follower', velocity=(0.0, 0.0), webotsName='FOLLOWER', webotsObject=None, webotsType=None, width=1.0), object1=StructPoint(angularSpeed=0.0, controller=None, elevation=None, heading=0.0, ind='0B', lastActions=None, length=1.0, mode='smc', position=(0, 0), positionOffset=(0.0, 0.0), resetController=True, rotationOffset=0.0, speed=0.0, type='Subscenario', velocity=(0.0, 0.0), webotsName='SUBSCENARIO', webotsObject=None, webotsType=None, width=1.0), object2=StructPoint(angularSpeed=0.0, controller=None, elevation=None, heading=0.0, lastActions=None, length=1.0, position=(-99.62188898359537, -43.26461007534852), positionOffset=(0.0, 0.0), resetController=True, rotationOffset=0.0, speed=0.0, type='OilBarrel1', velocity=(0.0, 0.0), webotsName='OIL_BARREL_1', webotsObject=None, webotsType=None, width=1.0), object3=StructPoint(angularSpeed=0.0, controller=None, elevation=None, heading=0.0, lastActions=None, length=1.0, position=(-114.04434831204327, -57.404805746557166), positionOffset=(0.0, 0.0), resetController=True, rotationOffset=0.0, speed=0.0, type='OilBarrel2', velocity=(0.0, 0.0), webotsName='OIL_BARREL_2', webotsObject=None, webotsType=None, width=1.0), object4=StructPoint(angularSpeed=0.0, controller=None, elevation=None, heading=0.0, lastActions=None, length=1.0, position=(-107.28021558583544, -68.9366083015311), positionOffset=(0.0, 0.0), resetController=True, rotationOffset=0.0, speed=0.0, type='OilBarrel3', velocity=(0.0, 0.0), webotsName='OIL_BARREL_3', webotsObject=None, webotsType=None, width=1.0), object5=StructPoint(angularSpeed=0.0, controller=None, elevation=None, heading=-1.5995971007105054, lastActions=None, length=1.0, position=(-105.12680531155385, -4.070696356459248), positionOffset=(0.0, 0.0), resetController=True, rotationOffset=0.0, speed=0.0, type='Lead', velocity=(0.0, -0.0), webotsName='LEAD', webotsObject=None, webotsType=None, width=1.0)), params=StructPoint())
