sample_ind,rho,sim_steps
1,-0.02196398483592965,464
2,4.546998578806216,1228
3,1.9254970601477464,1206
4,-0.09593563842865471,451
5,3.62525377809183,1205
6,1.7993712451988841,1199
7,4.391712402923975,1210
8,-0.01122317156640218,397
9,3.3969656297912803,1213
10,4.47522971195913,1225
11,4.004041902811535,1213
12,3.7285647698554314,1218
13,4.5999527182517514,1233
14,-0.06390818723131719,420
15,-0.08694212049708927,409
16,3.6935710385833396,1199
17,-0.10360427918467607,350
18,-0.09888123093550938,343
19,3.946371357662379,1220
20,-0.06993454748688777,439
21,2.8273655527236876,1214
22,-0.03553248793095598,483
23,2.8024176421685194,1199
24,-0.06941799095996704,333
25,2.4845435653299317,1212
26,4.123472048315493,1227
27,4.387298396037467,1205
28,3.4118030493731997,1209
29,-0.02907367632907487,263
30,2.7322199247629433,1207
31,1.5296087734702741,1204
32,-0.053754901671583255,295
33,3.8658374158231155,1213
34,-0.026274450658974047,499
35,3.8135136672248997,1204
36,2.2829459772261727,1201
37,-0.019637956841968673,757
38,-0.034068488649731776,519
39,2.9806217425210715,1210
40,2.666954001350671,1209
41,3.700910541118496,1199
